patient_id,type_id,trial_id,n_frames,n_partialout_head,n_partialout_foot,n_partialout_left,n_partialout_right,n_totalout,time_partialout_head,time_partialout_foot,time_partialout_left,time_partialout_right,time_totalout,csvpath
03,00,00,68,32,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\03_00_00__2023-10-20-17-09-06_2d.csv
03,01,01,75,31,0,0,6,0,0.0,0,0.0,1.0364999771118164,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\03_01_01__2023-10-20-17-17-02_2d.csv
03,02,00,45,21,0,0,8,1,3.3734636306762695,0,0.0,1.739396095275879,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\03_02_00__2023-10-20-17-19-53_2d.csv
03,03,00,82,18,0,23,0,0,2.764162063598633,0,3.5122203826904297,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\03_03_00__2023-10-20-17-24-31_2d.csv
03,04,00,63,7,0,1,0,2,0.0,0,0.0,0.0,12.744598865509033,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\03_04_00__2023-10-20-17-27-43_2d.csv
03,05,00,144,76,0,9,13,1,0.0,0,2.374457359313965,12.17599606513977,9.471219539642334,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\03_05_00__2023-10-20-17-31-30_2d.csv
03,06,00,71,18,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\03_06_00__2023-10-20-17-35-12_2d.csv
03,07,00,73,7,0,5,0,1,1.034980058670044,0,10.33621597290039,0.0,8.590599775314331,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\03_07_00__2023-10-20-17-37-47_2d.csv
03,08,00,18,3,0,1,0,1,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\03_08_00__2023-10-20-17-43-08_2d.csv
03,09,00,27,11,0,0,0,1,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\03_09_00__2023-10-20-17-46-05_2d.csv
04,02,00,10,4,0,0,3,0,0.0,0,0.0,4.38203501701355,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_02_00__2023-10-21-10-39-44_2d.csv
04,03,00,23,1,0,0,0,1,0.0,0,0.0,0.0,6.656556129455566,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_03_00__2023-10-21-10-43-05_2d.csv
04,05,00,41,21,0,2,14,2,15.463243246078491,0,-0.3124513626098633,2.531447649002075,11.640732049942017,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_05_00__2023-10-21-10-51-00_2d.csv
04,06,00,62,0,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_06_00__2023-10-21-10-54-44_2d.csv
04,07,00,44,0,0,0,6,1,0.0,0,0.0,1.0368549823760986,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_07_00__2023-10-21-10-58-36_2d.csv
04,08,00,36,0,0,8,0,1,0.0,0,4.214806079864502,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_08_00__2023-10-21-11-02-01_2d.csv
04,09,00,21,1,0,0,1,1,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_09_00__2023-10-21-11-05-04_2d.csv
04,10,01,112,69,0,0,3,2,0.0,0,0.0,6.422429323196411,6.255181312561035,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_10_01__2023-10-21-11-12-04_2d.csv
05,00,00,103,11,0,9,0,0,0.0,0,2.0403928756713867,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_00_00__2023-10-21-11-29-44_2d.csv
05,01,01,60,12,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_01_01__2023-10-21-11-35-22_2d.csv
05,02,00,58,9,0,6,0,1,0.0,0,5.452424049377441,0.0,4.783390045166016,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_02_00__2023-10-21-11-38-29_2d.csv
05,03,00,34,3,0,1,0,2,0.0,0,0.0,0.0,5.820302724838257,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_03_00__2023-10-21-11-41-27_2d.csv
05,04,00,31,3,0,0,0,1,0.0,0,0.0,0.0,8.340908765792847,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_04_00__2023-10-21-11-45-09_2d.csv
05,05,00,49,2,0,1,0,1,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_05_00__2023-10-21-11-48-46_2d.csv
05,06,00,108,0,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_06_00__2023-10-21-11-51-40_2d.csv
05,07,00,86,4,0,14,0,1,0.501755952835083,0,5.051044702529907,0.0,3.077399969100952,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_07_00__2023-10-21-11-55-04_2d.csv
05,10,00,71,0,0,4,0,1,0.0,0,8.128448009490967,0.0,8.128448009490967,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\05_10_00__2023-10-21-12-05-09_2d.csv
06,00,00,50,8,0,7,0,1,0.0,0,5.85393214225769,0.0,5.184927940368652,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_00_00__2023-10-21-13-14-24_2d.csv
06,01,00,116,24,0,5,0,0,3.0775907039642334,0,0.5685019493103027,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_01_00__2023-10-21-13-17-14_2d.csv
06,02,00,35,6,0,3,0,1,0.0,0,10.63718557357788,0.0,10.469934940338135,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_02_00__2023-10-21-13-20-39_2d.csv
06,03,00,56,8,0,10,0,0,0.0,0,3.3115599155426025,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_03_00__2023-10-21-13-24-16_2d.csv
06,05,00,83,9,0,0,1,1,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_05_00__2023-10-21-13-31-09_2d.csv
06,06,00,49,0,0,21,0,2,0.0,0,2.894434690475464,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_06_00__2023-10-21-13-34-23_2d.csv
06,07,00,48,5,0,5,0,1,0.6690361499786377,0,5.357186794281006,0.0,5.189934730529785,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_07_00__2023-10-21-13-37-30_2d.csv
06,08,00,62,0,0,9,0,1,0.0,0,6.690181016921997,0.0,5.433115243911743,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_08_00__2023-10-21-13-40-17_2d.csv
06,09,00,33,0,0,5,0,2,0.0,0,1.5386359691619873,0.0,11.9083571434021,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_09_00__2023-10-21-13-42-44_2d.csv
06,10,00,42,4,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\06_10_00__2023-10-21-13-46-03_2d.csv
07,00,00,106,9,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_00_00__2023-10-21-14-08-14_2d.csv
07,01,00,102,18,0,0,0,1,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_01_00__2023-10-21-14-11-05_2d.csv
07,02,00,3,2,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_02_00__2023-10-21-14-14-24_2d.csv
07,03,00,67,9,0,9,0,1,0.0,0,6.0545549392700195,0.0,5.051047086715698,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_03_00__2023-10-21-14-18-31_2d.csv
07,04,00,78,7,0,0,6,1,0.0,0,0.0,0.6354122161865234,8.563420057296753,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_04_00__2023-10-21-14-21-43_2d.csv
07,05,00,110,20,0,8,0,1,3.1442439556121826,0,4.315072298049927,0.0,3.2781879901885986,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_05_00__2023-10-21-14-25-09_2d.csv
07,06,00,102,0,0,0,0,0,0.0,0,0.0,0.0,0.0,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\07_06_00__2023-10-21-14-29-06_2d.csv
