,0,1,2,3,4,5,6,7,8,9,10,11,left,center,stop,all
perfect,0.42857142857142855,0.5,0.26666666666666666,0.07142857142857142,0.2857142857142857,0.21428571428571427,0.6428571428571429,0.21428571428571427,0.2857142857142857,0.0,0.14285714285714285,,0.38571428571428573,0.19298245614035087,0.17857142857142858,0.27741935483870966
only_partial,0.21428571428571427,0.35714285714285715,0.13333333333333333,0.35714285714285715,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.35714285714285715,0.2857142857142857,0.07142857142857142,0.2857142857142857,,0.2714285714285714,0.15789473684210525,0.25,0.22580645161290322
only_total,0.21428571428571427,0.14285714285714285,0.13333333333333333,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,,0.21428571428571427,0.21052631578947367,0.2857142857142857,0.22580645161290322
others,0.14285714285714285,0.0,0.4666666666666667,0.21428571428571427,0.35714285714285715,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.6428571428571429,0.2857142857142857,,0.12857142857142856,0.43859649122807015,0.2857142857142857,0.2709677419354839
