,,yoshinari:LFHD,,,HSR:HSR1,,,HSR:HSR2,,,HSR:HSR3,,,HSR:HSR4,,,HSR:HSR5,,,HSR:HSR6,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
39,0,-3387.029541,-534.312805,1643.40625,-127.751915,1232.013428,1112.563843,-55.38121,1244.529541,1033.133423,-145.1521,1304.374023,1037.098633,-69.104599,1319.346436,1032.291504,-119.321175,1157.315796,1038.079102,-42.760262,1168.422974,1034.238892
40,0,-3387.443848,-534.481323,1643.446777,-127.730995,1232.009155,1112.541016,-55.321743,1244.24707,1033.09436,-145.117126,1304.356934,1037.10083,-69.086357,1319.32019,1032.263184,-119.313606,1157.266968,1038.05957,-42.740814,1168.405884,1034.21106
41,0,-3387.906006,-534.744873,1643.494019,-127.726166,1232.00354,1112.534302,-55.301571,1244.236694,1033.107178,-145.117126,1304.359375,1037.092163,-69.075279,1319.32373,1032.274414,-119.298714,1157.273438,1038.054077,-42.74165,1168.411621,1034.218872
42,0,-3388.479248,-535.148499,1643.749634,-127.725586,1232.005493,1112.554932,-55.360062,1244.501587,1033.124268,-145.128525,1304.368896,1037.084351,-69.085358,1319.324097,1032.300781,-119.314598,1157.290039,1038.05896,-42.744564,1168.373657,1034.230225
43,0,-3390.344238,-535.680908,1643.675171,-127.746735,1232.007324,1112.568237,-55.375305,1244.514404,1033.167603,-145.166733,1304.395508,1037.083252,-69.092262,1319.349487,1032.325928,-119.333939,1157.303711,1038.082031,-42.762405,1168.376831,1034.257935
44,0,-3385.12915,-535.705078,1643.650024,-127.752464,1232.009399,1112.575073,-55.38356,1244.542969,1033.162231,-145.169281,1304.404419,1037.098877,-69.108345,1319.347168,1032.318848,-119.340927,1157.318848,1038.107544,-42.757652,1168.409912,1034.258789
45,0,-3393.537842,-536.927307,1644.300659,-127.756226,1232.025757,1112.555298,-55.397354,1244.538696,1033.128662,-145.165848,1304.398682,1037.10791,-69.107498,1319.346313,1032.288696,-119.340202,1157.306885,1038.070679,-42.758671,1168.428955,1034.208374
46,0,,,,-127.733467,1232.016724,1112.530518,-55.331959,1244.263062,1033.104004,-145.144547,1304.352905,1037.067383,-69.07019,1319.326904,1032.282959,-119.317162,1157.302368,1038.062866,-42.762505,1168.406494,1034.21521
47,0,-3395.503662,-538.898071,1644.591187,-127.716286,1232.007446,1112.540039,-55.385983,1244.511841,1033.100098,-145.126953,1304.352539,1037.095825,-69.069801,1319.309326,1032.263062,-119.319801,1157.282959,1038.058838,-42.744743,1168.395996,1034.201782
48,0,-3395.723389,-539.563171,1644.375977,-127.712044,1232.010254,1112.554199,-55.352978,1244.491821,1033.133911,-145.128723,1304.369873,1037.08252,-69.075089,1319.303589,1032.281006,-119.304031,1157.269165,1038.064819,-42.737442,1168.383911,1034.236572
49,0,-3396.480469,-540.283142,1644.200928,-127.728668,1232.000854,1112.563965,-55.374882,1244.491943,1033.148193,-145.148254,1304.382202,1037.107666,-69.104439,1319.322266,1032.313965,-119.332993,1157.280151,1038.081909,-42.759995,1168.387329,1034.260498
50,0,-3396.753906,-541.027466,1644.137817,-127.754494,1232.012695,1112.593262,-55.403141,1244.50415,1033.14502,-145.165634,1304.406616,1037.110596,-69.121506,1319.347778,1032.330322,-119.352913,1157.318726,1038.099854,-42.76812,1168.383301,1034.274292
51,0,-3397.697021,-542.106628,1644.061646,-127.753304,1232.027344,1112.579224,-55.356422,1244.258545,1033.142334,-145.175461,1304.398682,1037.104248,-69.108681,1319.341675,1032.314941,-119.366264,1157.312378,1038.085938,-42.778362,1168.403564,1034.243652
52,0,-3400.577393,-543.370361,1643.987549,-127.741501,1232.018921,1112.543823,-55.390697,1244.540894,1033.114258,-145.14975,1304.364624,1037.080933,-69.082031,1319.341431,1032.284058,-119.32476,1157.29541,1038.054077,-42.770161,1168.425293,1034.213379
53,0,-3402.506348,-544.587463,1643.916626,-127.717613,1232.014893,1112.52356,-55.372448,1244.520752,1033.10376,-145.128036,1304.352905,1037.090454,-69.065857,1319.304321,1032.257202,-119.297554,1157.27002,1038.045898,-42.73497,1168.419189,1034.195923
54,0,-3403.908203,-545.390503,1644.193726,-127.718391,1232.009155,1112.536743,-55.296322,1244.234619,1033.106934,-145.123047,1304.382446,1037.113159,-69.092415,1319.321045,1032.279541,-119.307327,1157.286865,1038.044434,-42.731842,1168.399658,1034.215576
55,0,-3404.767822,-546.046997,1645.005249,-127.74791,1232.010498,1112.568359,-55.37571,1244.489746,1033.144165,-145.153351,1304.389282,1037.088867,-69.093231,1319.345459,1032.322876,-119.338974,1157.294922,1038.065308,-42.754234,1168.373779,1034.234985
56,0,-3405.854004,-546.889526,1645.733521,-127.747551,1232.022217,1112.565308,-55.392849,1244.515503,1033.157471,-145.172501,1304.406006,1037.082642,-69.116539,1319.352905,1032.314209,-119.349388,1157.325073,1038.085083,-42.768696,1168.395142,1034.255249
57,0,-3405.634521,-548.866028,1647.79126,-127.769753,1232.047607,1112.578491,-55.388805,1244.526001,1033.152344,-145.173218,1304.39856,1037.09375,-69.113548,1319.359375,1032.300293,-119.342979,1157.30542,1038.069336,-42.764046,1168.416992,1034.253418
58,0,-3408.454834,-550.313721,1647.936646,-127.765701,1232.038818,1112.548218,-55.390316,1244.528564,1033.114868,-145.156357,1304.381714,1037.07373,-69.098724,1319.340698,1032.286011,-119.34684,1157.319946,1038.057251,-42.777641,1168.435547,1034.22168
59,0,-3408.961182,-552.009399,1648.963135,-127.740532,1232.030884,1112.536011,-55.328548,1244.255615,1033.098877,-145.117004,1304.348755,1037.098755,-69.064468,1319.337646,1032.275391,-119.310524,1157.29541,1038.060913,-42.76123,1168.410645,1034.198242
60,0,-3409.68042,-553.169312,1649.622803,-127.726242,1231.996704,1112.534302,-55.355892,1244.49231,1033.133057,-145.125931,1304.384033,1037.09668,-69.080849,1319.315308,1032.280151,-119.316895,1157.275757,1038.042358,-42.733524,1168.405884,1034.215088
61,0,-3411.786133,-554.476929,1649.968018,-127.725113,1231.997803,1112.54895,-55.362537,1244.484497,1033.147339,-145.131577,1304.379761,1037.095581,-69.095436,1319.318604,1032.314331,-119.318993,1157.27124,1038.085449,-42.725689,1168.380127,1034.244141
