,,yoshinari:CentreOfMass,,,HSR:HSR1,,,HSR:HSR2,,,HSR:HSR3,,,HSR:HSR4,,,HSR:HSR5,,,HSR:HSR6,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,,,,,-94.119553,1229.390015,1111.922485,-21.885832,1241.37207,1032.242798,-111.121338,1301.929932,1036.501953,-34.90456,1316.083374,1031.57019,-86.546356,1154.525757,1037.356445,-9.959237,1164.877441,1033.369995
2,,,,,-94.114449,1229.387939,1111.916138,-21.892109,1241.373901,1032.249878,-111.116875,1301.924194,1036.49939,-34.891644,1316.102417,1031.602173,-86.547913,1154.52417,1037.36084,-9.954293,1164.911133,1033.388062
3,,,,,-94.078903,1229.394165,1111.890137,-21.891167,1241.426514,1032.231812,-111.094238,1301.911499,1036.48999,-34.877174,1316.106323,1031.55896,-86.514809,1154.531982,1037.342163,-9.950148,1164.923218,1033.329712
4,,,,,-94.064224,1229.367554,1111.865112,-21.864218,1241.423096,1032.18042,-111.052757,1301.887329,1036.485718,-34.852753,1316.090698,1031.531738,-86.486023,1154.513062,1037.325317,-9.927978,1164.927734,1033.328003
5,,,,,-94.062691,1229.368408,1111.880005,-21.867342,1241.381836,1032.185303,-111.046631,1301.885864,1036.479614,-34.827011,1316.06604,1031.528076,-86.491249,1154.513184,1037.315308,-9.938919,1164.904663,1033.316528
6,,,,,-94.061195,1229.363159,1111.90332,-21.890585,1241.330933,1032.210815,-111.080894,1301.886475,1036.480347,-34.853539,1316.07605,1031.55481,-86.497566,1154.505249,1037.34021,-9.946009,1164.875366,1033.355591
7,,,,,-94.088516,1229.364502,1111.930298,-21.879642,1241.303833,1032.276367,-111.110107,1301.899658,1036.513306,-34.887161,1316.103027,1031.592651,-86.518661,1154.522583,1037.35791,-9.955264,1164.87207,1033.378784
8,,,,,-94.109802,1229.36377,1111.947266,-21.878668,1241.281006,1032.282349,-111.109077,1301.907227,1036.519043,-34.889889,1316.107178,1031.596191,-86.548981,1154.540161,1037.378296,-9.972567,1164.87915,1033.403564
9,,,,,-94.105774,1229.359009,1111.95105,-21.880537,1241.295166,1032.281128,-111.092728,1301.912109,1036.521606,-34.865097,1316.116577,1031.601807,-86.525246,1154.525513,1037.373779,-9.958009,1164.890991,1033.395264
10,,,,,-94.065155,1229.342285,1111.930054,-21.858576,1241.284668,1032.24646,-111.050087,1301.877808,1036.531616,-34.830902,1316.098755,1031.578369,-86.503227,1154.52002,1037.366089,-9.941899,1164.869629,1033.364502
11,,,,,-94.074165,1229.326904,1111.919189,-21.850449,1241.242676,1032.223999,-111.059158,1301.848145,1036.513062,-34.819202,1316.101929,1031.561646,-86.477974,1154.499878,1037.33374,-9.928823,1164.870483,1033.348877
12,,,,,-94.072372,1229.322021,1111.936523,-21.861055,1241.213867,1032.271973,-111.05056,1301.866943,1036.517334,-34.834984,1316.090332,1031.580933,-86.501823,1154.487305,1037.37561,-9.945407,1164.848511,1033.385864
13,,,,,-94.094727,1229.319214,1111.959717,-21.869129,1241.17627,1032.298096,-111.087074,1301.863403,1036.526978,-34.868664,1316.107422,1031.616089,-86.537651,1154.505249,1037.374023,-9.960325,1164.845581,1033.425171
14,,,,,-94.104652,1229.331177,1111.985474,-21.882557,1241.168457,1032.322998,-111.105896,1301.879395,1036.543457,-34.868423,1316.123169,1031.617065,-86.551895,1154.513916,1037.392456,-9.984242,1164.853271,1033.436401
15,,,,,-94.104164,1229.323853,1111.969727,-21.860626,1241.213867,1032.314697,-111.090446,1301.889648,1036.534058,-34.855278,1316.117188,1031.620239,-86.527328,1154.509399,1037.375488,-9.955227,1164.858643,1033.428711
16,,,,,-94.075821,1229.309692,1111.942383,-21.844265,1241.217041,1032.278564,-111.057083,1301.865601,1036.520386,-34.834354,1316.113281,1031.584106,-86.489655,1154.507935,1037.358398,-9.969765,1164.859863,1033.384155
17,,,,,-94.066299,1229.30249,1111.930542,-21.84407,1241.199829,1032.249512,-111.058716,1301.838013,1036.518555,-34.822273,1316.092407,1031.567017,-86.478081,1154.481567,1037.350098,-9.944503,1164.852661,1033.374634
18,,,,,-94.071167,1229.318237,1111.937378,-21.845633,1241.188477,1032.270752,-111.057365,1301.839478,1036.521851,-34.822914,1316.089111,1031.571045,-86.494164,1154.476562,1037.362793,-9.958024,1164.848633,1033.377441
19,,,,,-94.089035,1229.307495,1111.953613,-21.855938,1241.175781,1032.291382,-111.074249,1301.871704,1036.536743,-34.846527,1316.101318,1031.583252,-86.516212,1154.479736,1037.374878,-9.961827,1164.828125,1033.392944
20,,,,,-94.106209,1229.324585,1111.973145,-21.859379,1241.172363,1032.315552,-111.098328,1301.883179,1036.534912,-34.872326,1316.12146,1031.619873,-86.560402,1154.50708,1037.394897,-9.980024,1164.819702,1033.425537
21,,,,,-94.105927,1229.329834,1111.977173,-21.871197,1241.186646,1032.339478,-111.092148,1301.889526,1036.553345,-34.861881,1316.125854,1031.64209,-86.549019,1154.514038,1037.398315,-9.971745,1164.854248,1033.432007
22,,,,,-94.091309,1229.320923,1111.970093,-21.863539,1241.228271,1032.302734,-111.074722,1301.869263,1036.526855,-34.854019,1316.119751,1031.606812,-86.499329,1154.509766,1037.383179,-9.97314,1164.87207,1033.403809
23,,,,,-94.071648,1229.300049,1111.935425,-21.856493,1241.209961,1032.234131,-111.04541,1301.838745,1036.515503,-34.820217,1316.113403,1031.578979,-86.485916,1154.504883,1037.359863,-9.950173,1164.854492,1033.365479
24,,,,,-94.066124,1229.306763,1111.949341,-21.858295,1241.196899,1032.262573,-111.052864,1301.842896,1036.526245,-34.830685,1316.095093,1031.573975,-86.47863,1154.477661,1037.355469,-9.938945,1164.848145,1033.374756
25,,,,,-94.096664,1229.313477,1111.957153,-21.84565,1241.176025,1032.30188,-111.074509,1301.863525,1036.532471,-34.833408,1316.112915,1031.62085,-86.499649,1154.478394,1037.391235,-9.945461,1164.828491,1033.4104
26,,,,,-94.103851,1229.32019,1111.980225,-21.859789,1241.168213,1032.318237,-111.079308,1301.87146,1036.540283,-34.871349,1316.11853,1031.639282,-86.542908,1154.507568,1037.397949,-9.970976,1164.83374,1033.440796
27,,,,,-94.109711,1229.339966,1111.990967,-21.866343,1241.201782,1032.33728,-111.103455,1301.893921,1036.557129,-34.872723,1316.123657,1031.634644,-86.53492,1154.521118,1037.397705,-9.969651,1164.860474,1033.44397
28,,,,,-94.090012,1229.335815,1111.965454,-21.864037,1241.223022,1032.29541,-111.099197,1301.889526,1036.523804,-34.869507,1316.138916,1031.608643,-86.521034,1154.521118,1037.38208,-9.97089,1164.871826,1033.415771
29,,,,,-94.086029,1229.327026,1111.948608,-21.870897,1241.21814,1032.267578,-111.066589,1301.864868,1036.523804,-34.84267,1316.117554,1031.593872,-86.505043,1154.514526,1037.38562,-9.968386,1164.870605,1033.388184
30,,,,,-94.075226,1229.292236,1111.942871,-21.84687,1241.200195,1032.250244,-111.053642,1301.844604,1036.51709,-34.824238,1316.094727,1031.55542,-86.475349,1154.487549,1037.367798,-9.954561,1164.861572,1033.368896
31,,,,,-94.063004,1229.307129,1111.945068,-21.843105,1241.171143,1032.273682,-111.065025,1301.872437,1036.530396,-34.833607,1316.111694,1031.610596,-86.479218,1154.482544,1037.373413,-9.937076,1164.847778,1033.404053
32,,,,,-94.090302,1229.31958,1111.967407,-21.854509,1241.171387,1032.30481,-111.091881,1301.878662,1036.522583,-34.854305,1316.110352,1031.615356,-86.51329,1154.499512,1037.410522,-9.961614,1164.823242,1033.430786
33,,,,,-94.103584,1229.331787,1111.978271,-21.858961,1241.192383,1032.33374,-111.097626,1301.872314,1036.547485,-34.869881,1316.119019,1031.637573,-86.556358,1154.526245,1037.39502,-9.983994,1164.837158,1033.435791
34,,,,,-94.107079,1229.330933,1111.966431,-21.872471,1241.219727,1032.307617,-111.091591,1301.884277,1036.539429,-34.850109,1316.122681,1031.632446,-86.542961,1154.521851,1037.399414,-9.979771,1164.859131,1033.422241
35,,,,,-94.094269,1229.317261,1111.957275,-21.850149,1241.221436,1032.274658,-111.065018,1301.871948,1036.527344,-34.821777,1316.124023,1031.595337,-86.501999,1154.505005,1037.367432,-9.961676,1164.876221,1033.386597
36,,,,,-94.071831,1229.302002,1111.927368,-21.850824,1241.195557,1032.266846,-111.033951,1301.836182,1036.530762,-34.826435,1316.099731,1031.585815,-86.469498,1154.485962,1037.345459,-9.942528,1164.842773,1033.377563
37,,,,,-94.080101,1229.311035,1111.945435,-21.841976,1241.180298,1032.269653,-111.056488,1301.846802,1036.526489,-34.814117,1316.109863,1031.595337,-86.479256,1154.479858,1037.373169,-9.941654,1164.835571,1033.380859
38,,,,,-94.092751,1229.303833,1111.967529,-21.836493,1241.161499,1032.298584,-111.079224,1301.863525,1036.53479,-34.849403,1316.112671,1031.630737,-86.523018,1154.477417,1037.38269,-9.940373,1164.820679,1033.414185
39,,,,,-94.095985,1229.314697,1111.974731,-21.855465,1241.194336,1032.328003,-111.099037,1301.879028,1036.539795,-34.870163,1316.126221,1031.639526,-86.540024,1154.498047,1037.390747,-9.973582,1164.830078,1033.435913
40,,,,,-94.114998,1229.339233,1111.977295,-21.869768,1241.221069,1032.3125,-111.090248,1301.893921,1036.531982,-34.857033,1316.128052,1031.620117,-86.538475,1154.522827,1037.39563,-9.960938,1164.869873,1033.417847
41,,,,,-94.09201,1229.328735,1111.963623,-21.872652,1241.225952,1032.29895,-111.066055,1301.876709,1036.532349,-34.849308,1316.140015,1031.602539,-86.511116,1154.518066,1037.381958,-9.975417,1164.872803,1033.395264
42,,,,,-94.080025,1229.298218,1111.940796,-21.861998,1241.22644,1032.271362,-111.064087,1301.854858,1036.53479,-34.826096,1316.108154,1031.590576,-86.51046,1154.502441,1037.365234,-9.941142,1164.861938,1033.383667
43,,,,,-94.082962,1229.310547,1111.949951,-21.852264,1241.181641,1032.269043,-111.055939,1301.852905,1036.532593,-34.831951,1316.109009,1031.598145,-86.499054,1154.483765,1037.376831,-9.942642,1164.839966,1033.383789
