,,yoshinari:CentreOfMass,,,HSR:HSR1,,,HSR:HSR2,,,HSR:HSR3,,,HSR:HSR4,,,HSR:HSR5,,,HSR:HSR6,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,,,,,-107.636749,1230.314697,1111.960938,-35.194397,1241.915405,1032.695923,-124.281357,1302.608276,1036.771729,-48.064606,1316.705566,1031.94165,-100.091415,1155.212158,1037.708252,-23.439974,1165.38562,1033.844727
2,,,,,-107.674973,1230.355835,1111.939087,-35.221546,1242.000244,1032.677124,-124.299416,1302.605591,1036.761719,-48.075962,1316.720337,1031.932739,-100.101212,1155.254028,1037.696167,-23.448992,1165.432983,1033.832764
3,,,,,-107.932945,1230.319702,1111.756104,-35.253048,1242.040649,1032.657837,-124.302246,1302.610229,1036.762939,-48.078018,1316.707886,1031.924438,-100.118477,1155.253662,1037.690674,-23.48555,1165.447266,1033.815308
4,,,,,-107.687119,1230.381104,1111.950684,-35.258411,1242.032837,1032.655884,-124.323624,1302.616821,1036.776367,-48.099678,1316.704224,1031.927734,-100.139946,1155.245483,1037.689209,-23.423845,1165.494385,1033.840942
5,,,,,-107.67347,1230.330322,1111.96582,-35.234264,1241.965698,1032.696655,-124.317604,1302.602905,1036.772339,-48.102234,1316.720215,1031.956909,-100.109177,1155.230591,1037.724976,-23.48204,1165.389893,1033.848389
6,,,,,-107.654152,1230.289429,1111.977295,-35.192677,1241.887329,1032.687988,-124.286606,1302.607666,1036.779663,-48.094582,1316.69458,1031.954468,-100.098198,1155.21936,1037.727783,-23.448668,1165.369751,1033.875854
7,,,,,-107.64286,1230.295288,1111.97522,-35.205616,1241.891113,1032.702026,-124.279076,1302.6073,1036.783081,-48.06612,1316.696777,1031.961304,-100.085968,1155.195923,1037.726196,-23.364218,1165.411133,1033.853638
8,,,,,-107.66114,1230.31604,1111.987183,-35.221123,1241.930664,1032.680786,-124.289711,1302.590332,1036.78894,-48.081684,1316.703857,1031.953979,-100.105484,1155.200317,1037.71875,-23.457045,1165.389282,1033.846558
9,,,,,-107.665314,1230.344604,1111.981567,-35.257782,1241.99707,1032.691528,-124.290398,1302.565918,1036.787476,-48.086773,1316.71106,1031.958862,-100.119041,1155.213257,1037.767456,-23.482927,1165.395996,1033.843994
10,,,,,-107.678352,1230.343018,1111.996826,-35.28857,1242.007446,1032.701416,-124.312546,1302.580933,1036.794678,-48.108955,1316.719116,1031.966919,-100.132515,1155.192017,1037.775024,-23.48975,1165.4021,1033.856812
11,,,,,-107.670807,1230.312256,1112.021362,-35.261826,1241.953857,1032.699097,-124.284462,1302.572144,1036.799072,-48.109127,1316.732056,1031.984253,-100.100662,1155.186279,1037.785156,-23.485596,1165.355347,1033.86853
12,,,,,-107.641045,1230.268921,1112.03064,-35.171844,1241.387207,1032.686646,-124.289513,1302.574707,1036.79834,-48.09053,1316.6875,1031.967529,-100.089325,1155.177856,1037.772827,-23.473347,1165.321167,1033.86853
13,,,,,-107.639519,1230.270874,1112.047119,-35.190407,1241.601318,1032.680908,-124.279076,1302.583862,1036.794434,-48.084106,1316.692261,1031.979492,-100.080124,1155.151123,1037.776245,-23.459015,1165.307373,1033.875977
14,,,,,-107.737152,1230.265991,1111.96167,-35.210457,1241.647827,1032.681885,-124.275131,1302.569458,1036.79895,-48.097385,1316.704956,1031.980347,-100.086891,1155.172729,1037.789185,-23.476397,1165.324463,1033.883789
15,,,,,-107.658478,1230.317139,1112.019043,-35.246178,1241.69165,1032.678345,-124.267899,1302.554321,1036.810547,-48.102394,1316.710815,1031.987183,-100.097816,1155.164062,1037.793335,-23.496227,1165.372437,1033.861328
16,,,,,-107.796791,1230.313721,1111.960449,-35.253868,1241.693481,1032.688721,-124.288773,1302.564087,1036.809448,-48.109772,1316.716675,1031.981689,-100.106842,1155.165894,1037.803955,-23.521082,1165.366943,1033.846558
17,,,,,-107.679855,1230.313599,1112.044678,-35.260437,1241.699219,1032.711792,-124.292488,1302.561523,1036.811279,-48.101612,1316.717285,1032.00647,-100.119339,1155.19458,1037.802124,-23.511391,1165.351807,1033.867188
18,,,,,-107.657784,1230.287476,1112.047485,-35.234936,1241.671387,1032.712891,-124.295502,1302.580444,1036.809448,-48.093124,1316.710693,1031.995605,-100.099289,1155.181396,1037.789917,-23.483963,1165.315918,1033.876343
19,,,,,-107.632187,1230.27063,1112.049805,-35.203014,1241.663818,1032.698364,-124.265411,1302.568237,1036.798828,-48.083172,1316.687988,1031.994263,-100.086021,1155.180542,1037.783813,-23.455725,1165.316284,1033.87439
20,,,,,-107.744751,1230.268677,1111.945557,-35.179241,1241.395264,1032.665283,-124.268654,1302.550781,1036.797119,-48.073746,1316.679688,1031.979858,-100.080276,1155.149658,1037.786499,-23.4669,1165.315918,1033.880493
21,,,,,-107.75267,1230.292236,1111.969849,-35.231716,1241.67395,1032.672607,-124.271461,1302.557373,1036.814941,-48.105934,1316.717407,1031.974243,-100.092697,1155.166626,1037.799194,-23.485001,1165.354492,1033.847656
22,,,,,-107.673096,1230.333252,1112.033813,-35.270329,1241.702881,1032.697876,-124.282059,1302.550415,1036.816162,-48.113255,1316.715454,1031.982178,-100.118477,1155.184937,1037.801025,-23.515612,1165.370728,1033.843628
23,,,,,-107.783791,1230.30127,1111.970947,-35.28064,1241.705078,1032.695312,-124.301956,1302.564453,1036.813477,-48.131706,1316.733643,1031.990723,-100.116463,1155.187866,1037.804199,-23.523392,1165.365601,1033.868652
24,,,,,-107.67762,1230.267334,1112.04126,-35.240215,1241.653198,1032.697388,-124.296555,1302.583252,1036.802124,-48.102951,1316.700317,1031.996704,-100.112488,1155.187012,1037.790649,-23.485748,1165.327148,1033.879761
25,,,,,-107.723862,1230.246948,1111.97876,-35.19846,1241.625244,1032.705322,-124.275291,1302.582275,1036.808228,-48.080715,1316.701782,1032.006348,-100.085419,1155.18689,1037.789429,-23.464342,1165.310181,1033.896851
26,,,,,-107.707535,1230.254028,1111.984375,-35.213512,1241.664062,1032.703735,-124.271988,1302.572144,1036.807983,-48.067436,1316.678589,1031.99231,-100.082443,1155.165405,1037.782837,-23.461796,1165.326416,1033.880981
27,,,,,-107.629532,1230.305176,1112.024048,-35.228813,1241.729004,1032.679443,-124.274734,1302.567017,1036.793213,-48.079994,1316.715332,1031.973755,-100.087227,1155.169556,1037.787842,-23.475451,1165.349365,1033.849731
28,,,,,-107.752792,1230.307251,1111.960449,-35.208504,1241.459106,1032.672607,-124.288033,1302.548706,1036.798462,-48.10685,1316.722778,1031.981689,-100.100197,1155.179077,1037.787842,-23.506231,1165.358398,1033.852051
29,,,,,-107.767609,1230.309204,1111.972656,-35.258888,1241.692139,1032.693115,-124.29245,1302.578125,1036.80481,-48.110008,1316.723755,1031.983032,-100.127968,1155.180542,1037.805786,-23.529043,1165.376221,1033.879028
30,,,,,-107.663177,1230.29126,1112.057495,-35.238846,1241.680054,1032.716675,-124.293678,1302.567871,1036.800171,-48.104218,1316.702026,1032.000244,-100.117134,1155.192749,1037.810913,-23.503,1165.338135,1033.886719
31,,,,,-107.629951,1230.259888,1112.0625,-35.168922,1241.393188,1032.677368,-124.273918,1302.591431,1036.817383,-48.071957,1316.709595,1032.01416,-100.090866,1155.167725,1037.797119,-23.469406,1165.317139,1033.899292
32,,,,,-107.728958,1230.244507,1111.980591,-35.186989,1241.589844,1032.69397,-124.26384,1302.557373,1036.815063,-48.064346,1316.683105,1031.997559,-100.071129,1155.158447,1037.807861,-23.443655,1165.317627,1033.882935
33,,,,,-107.725899,1230.269897,1111.972412,-35.20784,1241.616333,1032.66748,-124.261742,1302.559937,1036.807739,-48.08857,1316.687988,1031.971069,-100.082687,1155.145752,1037.794189,-23.46772,1165.341431,1033.866943
34,,,,,-107.750702,1230.303101,1111.95813,-35.212132,1241.443604,1032.662842,-124.276291,1302.556763,1036.815063,-48.107433,1316.711182,1031.989502,-100.100716,1155.138062,1037.7854,-23.49358,1165.368042,1033.851196
35,,,,,-107.684647,1230.336304,1112.040771,-35.269413,1241.71106,1032.694702,-124.290161,1302.575073,1036.808472,-48.117001,1316.70813,1031.998779,-100.107574,1155.164062,1037.819458,-23.52762,1165.376099,1033.852783
36,,,,,-107.663094,1230.316772,1112.05835,-35.266239,1241.688843,1032.709473,-124.308746,1302.593506,1036.817139,-48.121014,1316.726318,1031.994507,-100.112381,1155.18457,1037.821533,-23.50444,1165.352539,1033.876587
37,,,,,-107.656227,1230.290527,1112.072876,-35.227055,1241.624512,1032.707886,-124.2911,1302.589355,1036.817383,-48.089218,1316.699951,1031.996826,-100.099762,1155.176636,1037.815674,-23.479609,1165.329834,1033.884155
38,,,,,-107.723267,1230.258423,1111.991699,-35.212654,1241.622559,1032.694702,-124.266983,1302.568237,1036.809204,-48.081165,1316.699585,1031.999146,-100.084106,1155.16748,1037.789551,-23.472351,1165.328247,1033.8927
39,,,,,-107.71949,1230.274902,1111.953491,-35.213028,1241.630859,1032.652588,-124.274277,1302.578125,1036.804321,-48.08358,1316.677002,1031.967285,-100.091888,1155.182983,1037.782471,-23.473839,1165.331543,1033.854004
40,,,,,-107.741272,1230.295654,1111.951782,-35.247284,1241.711426,1032.666992,-124.267609,1302.52832,1036.805298,-48.107124,1316.699341,1031.974365,-100.095573,1155.164062,1037.772949,-23.498697,1165.387207,1033.850708
41,,,,,-107.785194,1230.295166,1111.949341,-35.274864,1241.779297,1032.681519,-124.292297,1302.562378,1036.80896,-48.135494,1316.71521,1031.995605,-100.121857,1155.184937,1037.802856,-23.51812,1165.365845,1033.855591
42,,,,,-107.681053,1230.339966,1112.062622,-35.277466,1241.782959,1032.719849,-124.311417,1302.577637,1036.813599,-48.139175,1316.726685,1031.997437,-100.119164,1155.191895,1037.808472,-23.527081,1165.360962,1033.880859
43,,,,,-107.641777,1230.286255,1112.039185,-35.265293,1241.772705,1032.702393,-124.294518,1302.571411,1036.802856,-48.109909,1316.694702,1031.994263,-100.11245,1155.19165,1037.809448,-23.494404,1165.338379,1033.882568
