,,yoshinari:CentreOfMass,,,HSR:HSR1,,,HSR:HSR2,,,HSR:HSR3,,,HSR:HSR4,,,HSR:HSR5,,,HSR:HSR6,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,,,,,-67.405487,1219.808838,1111.142944,4.991563,1228.810669,1031.486816,-82.160835,1292.846436,1035.973633,-5.499105,1304.323608,1030.801514,-62.095402,1144.965698,1036.391357,14.180665,1152.274658,1032.414307
2,,,,,-67.400612,1219.837402,1111.135498,5.004167,1228.84436,1031.470093,-82.171089,1292.863403,1035.984497,-5.488733,1304.318481,1030.7948,-62.717838,1144.884766,1036.516968,14.169925,1152.309204,1032.381104
3,,,,,-67.408516,1219.864868,1111.115479,4.991914,1228.846069,1031.455811,-82.158913,1292.845581,1035.977051,-5.505121,1304.32959,1030.772583,-62.055519,1145.005127,1036.370239,14.17225,1152.337891,1032.365112
4,,,,,-67.398788,1219.880249,1111.092773,5.008466,1228.845337,1031.432251,-82.139084,1292.836914,1035.974487,-5.454844,1304.325806,1030.750977,-62.056442,1144.990112,1036.371216,14.184072,1152.346802,1032.360962
5,,,,,-67.366791,1219.839722,1111.098145,5.014517,1228.808838,1031.417847,-82.123665,1292.817017,1035.960815,-5.446201,1304.30127,1030.725342,-62.654049,1144.85791,1036.482666,14.201582,1152.301025,1032.37854
6,,,,,-67.375336,1219.807129,1111.130981,5.020708,1228.775024,1031.440308,-82.141724,1292.821777,1035.978149,-5.453824,1304.303467,1030.751587,-62.639736,1144.855347,1036.48999,14.183684,1152.290771,1032.42688
7,,,,,-67.383133,1219.786011,1111.155273,5.014153,1228.77356,1031.460449,-82.162766,1292.825928,1036.000488,-5.472075,1304.312012,1030.789673,-62.176815,1144.930176,1036.437988,14.178603,1152.272339,1032.441162
8,,,,,-67.410431,1219.82373,1111.163574,4.987289,1228.798584,1031.491577,-82.148468,1292.844849,1036.028809,-5.493556,1304.331787,1030.825684,-62.722332,1144.87439,1036.535645,14.181259,1152.278076,1032.435791
9,,,,,-67.409103,1219.862915,1111.140991,4.973755,1228.797363,1031.466187,-82.13295,1292.834106,1036.023682,-5.473238,1304.338013,1030.818604,-62.281265,1144.945923,1036.45813,14.157123,1152.295532,1032.403931
10,,,,,-67.379761,1219.86499,1111.110352,4.982049,1228.808716,1031.438965,-82.1092,1292.800049,1036.015869,-5.462675,1304.317993,1030.799805,-62.675804,1144.87915,1036.505005,14.159015,1152.310059,1032.38562
11,,,,,-67.394997,1219.820801,1111.105347,4.992109,1228.772339,1031.452148,-82.117256,1292.78186,1036.023438,-5.45662,1304.287964,1030.813232,-62.251637,1144.928345,1036.406128,14.156361,1152.284424,1032.416992
12,,,,,-67.375084,1219.799683,1111.143921,5.001641,1228.74707,1031.45752,-82.119217,1292.766113,1036.016479,-5.449684,1304.292969,1030.797363,-62.242886,1144.905029,1036.43396,14.190728,1152.250732,1032.426147
13,,,,,-67.399986,1219.784058,1111.165527,4.987165,1228.738037,1031.487671,-82.135925,1292.802002,1036.035645,-5.479111,1304.306274,1030.827881,-62.256634,1144.891479,1036.464111,14.154748,1152.229858,1032.462524
14,,,,,-67.412445,1219.798706,1111.160522,4.969985,1228.751343,1031.476685,-82.140457,1292.80481,1036.026245,-5.497813,1304.314087,1030.817505,-62.35463,1144.912231,1036.455688,14.159828,1152.239258,1032.46582
15,,,,,-67.430931,1219.840454,1111.154541,4.970089,1228.798096,1031.496338,-82.138245,1292.813232,1036.048706,-5.483489,1304.326904,1030.84082,-62.349228,1144.903198,1036.466797,14.131882,1152.259521,1032.445312
16,,,,,-67.428711,1219.856201,1111.129517,4.947778,1228.799438,1031.483276,-82.138489,1292.786621,1036.054199,-5.479369,1304.296631,1030.838135,-62.35643,1144.933594,1036.447876,14.14453,1152.290039,1032.40979
17,,,,,-67.398361,1219.823853,1111.112061,4.985471,1228.771362,1031.4552,-82.117859,1292.780396,1036.029053,-5.458287,1304.303223,1030.828491,-62.242603,1144.896362,1036.459717,14.151997,1152.260132,1032.404053
18,,,,,-67.3974,1219.784668,1111.129517,5.015276,1228.73291,1031.444336,-82.102341,1292.783081,1036.022949,-5.441259,1304.283203,1030.789307,-62.240742,1144.913696,1036.445923,14.179604,1152.247803,1032.425049
19,,,,,-67.366844,1219.766479,1111.154541,5.009922,1228.731812,1031.473389,-82.12075,1292.778442,1036.036499,-5.449115,1304.28186,1030.808716,-62.21175,1144.886475,1036.454346,14.166484,1152.216431,1032.462036
20,,,,,-67.410103,1219.781616,1111.177246,4.980657,1228.763794,1031.504517,-82.147903,1292.819214,1036.071655,-5.467775,1304.307617,1030.838867,-62.294579,1144.932617,1036.452026,14.157548,1152.229736,1032.476196
21,,,,,-67.418274,1219.843872,1111.157349,4.959978,1228.788452,1031.489746,-82.141655,1292.810059,1036.055786,-5.473431,1304.334473,1030.866089,-62.707222,1144.86853,1036.551514,14.149484,1152.260864,1032.442871
22,,,,,-67.434265,1219.863281,1111.127441,4.9654,1228.786255,1031.474487,-82.126778,1292.799805,1036.059082,-5.474344,1304.326782,1030.830811,-62.371178,1144.944092,1036.457886,14.142665,1152.286255,1032.426758
23,,,,,-67.404053,1219.84729,1111.110474,5.003356,1228.678223,1031.429565,-82.112358,1292.772461,1036.03772,-5.467482,1304.314697,1030.807495,-62.308659,1144.916504,1036.438721,14.145414,1152.279785,1032.405762
24,,,,,-67.364922,1219.810181,1111.131348,4.996623,1228.736084,1031.441162,-82.116737,1292.780762,1036.044678,-5.449845,1304.302612,1030.813599,-62.280689,1144.890503,1036.466187,14.180059,1152.254517,1032.419556
25,,,,,-67.388954,1219.764648,1111.138306,5.006248,1228.712524,1031.452759,-82.130417,1292.79834,1036.039551,-5.461019,1304.305298,1030.81543,-62.31459,1144.872559,1036.449341,14.185719,1152.219482,1032.455322
26,,,,,-67.392494,1219.7854,1111.166992,4.998404,1228.71936,1031.476318,-82.128914,1292.813232,1036.051025,-5.473886,1304.299072,1030.824829,-62.291996,1144.922729,1036.467407,14.153505,1152.220215,1032.456787
27,,,,,-67.422966,1219.836304,1111.151367,4.966599,1228.761475,1031.486938,-82.146339,1292.837036,1036.048706,-5.481151,1304.313354,1030.844971,-62.362854,1144.943848,1036.452393,14.1611,1152.251953,1032.452393
28,,,,,-67.430885,1219.84314,1111.128296,4.976648,1228.764893,1031.473877,-82.144844,1292.812744,1036.05542,-5.479408,1304.324707,1030.836182,-62.335258,1144.971191,1036.40686,14.132836,1152.27478,1032.419189
29,,,,,-67.448898,1219.835938,1111.131958,4.972318,1228.777588,1031.473755,-82.135979,1292.793457,1036.047241,-5.468948,1304.335815,1030.830444,-62.677197,1144.861206,1036.522095,14.127884,1152.290039,1032.414551
30,,,,,-67.407822,1219.814331,1111.132324,4.987141,1228.751709,1031.458374,-82.124382,1292.783936,1036.0448,-5.463465,1304.308716,1030.808105,-62.334259,1144.909668,1036.474854,14.154681,1152.258911,1032.424194
31,,,,,-67.368599,1219.790527,1111.164917,5.012784,1228.716797,1031.446533,-82.105309,1292.796997,1036.040283,-5.452832,1304.302979,1030.822144,-62.344433,1144.884277,1036.458374,14.179381,1152.221191,1032.454712
32,,,,,-67.384079,1219.786865,1111.151978,5.020494,1228.707886,1031.465942,-82.118942,1292.810181,1036.050537,-5.475047,1304.290527,1030.830688,-62.332752,1144.874512,1036.503174,14.176618,1152.227417,1032.471313
33,,,,,-67.382904,1219.814087,1111.157471,4.987873,1228.709106,1031.466064,-82.127411,1292.823608,1036.04834,-5.461246,1304.306763,1030.825439,-62.386055,1144.913452,1036.471069,14.160216,1152.253174,1032.459351
34,,,,,-67.429008,1219.862549,1111.136719,4.960289,1228.729126,1031.463013,-82.127876,1292.800659,1036.052002,-5.467589,1304.325684,1030.828491,-62.339729,1144.929443,1036.463623,14.147622,1152.286377,1032.440796
35,,,,,-67.418182,1219.849365,1111.116577,4.958543,1228.772461,1031.46228,-82.127144,1292.793335,1036.036499,-5.474841,1304.327393,1030.797241,-62.351967,1144.945435,1036.444946,14.145365,1152.289551,1032.413818
36,,,,,-67.382591,1219.839844,1111.129761,4.998532,1228.695435,1031.433838,-82.102829,1292.779907,1036.049438,-5.453567,1304.318481,1030.813354,-62.654839,1144.87561,1036.510132,14.16101,1152.270752,1032.396118
37,,,,,-67.383598,1219.773071,1111.13916,5.01731,1228.72168,1031.448486,-82.102997,1292.780762,1036.025879,-5.43134,1304.300659,1030.848022,-62.262009,1144.877197,1036.463623,14.188075,1152.227905,1032.428711
38,,,,,-67.384285,1219.773926,1111.153687,5.011707,1228.71814,1031.453003,-82.115639,1292.79895,1036.03479,-5.46266,1304.286133,1030.837891,-62.316376,1144.878662,1036.467163,14.184472,1152.211914,1032.452148
39,,,,,-67.406418,1219.810791,1111.169434,4.99234,1228.733521,1031.481445,-82.141678,1292.811523,1036.047729,-5.471602,1304.299072,1030.824707,-62.643467,1144.84314,1036.542114,14.165477,1152.249023,1032.456787
40,,,,,-67.421326,1219.82605,1111.1521,4.955834,1228.756104,1031.487549,-82.144402,1292.806763,1036.064697,-5.470485,1304.31897,1030.815918,-62.670231,1144.859131,1036.568237,14.13538,1152.278198,1032.466431
41,,,,,-67.430603,1219.863525,1111.141235,4.947484,1228.782837,1031.477295,-82.143837,1292.794678,1036.056274,-5.46886,1304.313599,1030.80603,-62.373051,1144.933716,1036.472534,14.153203,1152.305908,1032.441406
42,,,,,-67.403267,1219.830933,1111.120117,4.978828,1228.753296,1031.463989,-82.131996,1292.775146,1036.028076,-5.469403,1304.307861,1030.816772,-62.408672,1144.689941,1036.656006,14.136748,1152.27124,1032.415649
43,,,,,-67.372444,1219.796265,1111.148804,4.988892,1228.722778,1031.466187,-82.126778,1292.779907,1036.028442,-5.471124,1304.291016,1030.827393,-62.351494,1144.890137,1036.481567,14.168303,1152.22583,1032.429077
44,,,,,-67.378525,1219.767578,1111.151611,5.015031,1228.701294,1031.485474,-82.121178,1292.800293,1036.059814,-5.454776,1304.284058,1030.835083,-62.301891,1144.878784,1036.486206,14.194427,1152.19458,1032.462891
