,,yoshinari:CentreOfMass,,,HSR:HSR1,,,HSR:HSR2,,,HSR:HSR3,,,HSR:HSR4,,,HSR:HSR5,,,HSR:HSR6,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,,,,,-197.321976,1228.065674,1113.234741,-125.37056,1243.587646,1034.198364,-217.817856,1299.337769,1038.196655,-142.489777,1317.737793,1033.584473,-185.502563,1153.587402,1038.813477,-109.312065,1168.144897,1035.305664
2,,,,,-197.327148,1228.039429,1113.257446,-125.362038,1243.553223,1034.190796,-217.811813,1299.384277,1038.220337,-142.48114,1317.754395,1033.578979,-185.488113,1153.579712,1038.831055,-109.307884,1168.1427,1035.302979
3,,,,,-197.297516,1228.008789,1113.252563,-125.339478,1243.524048,1034.172363,-217.810776,1299.377808,1038.204712,-142.462967,1317.727417,1033.597412,-185.48616,1153.560547,1038.819458,-109.279823,1168.104614,1035.309082
4,,,,,-197.278473,1227.981812,1113.258545,-125.316963,1243.497925,1034.172241,-217.804031,1299.371216,1038.204712,-142.4552,1317.716919,1033.612183,-185.448608,1153.539917,1038.828735,-109.242714,1168.066162,1035.330566
5,,,,,-197.272614,1227.968628,1113.252075,-125.318932,1243.465454,1034.182129,-217.792068,1299.358765,1038.19458,-142.44696,1317.70874,1033.602295,-185.460327,1153.540894,1038.828247,-109.256599,1168.04248,1035.325195
6,,,,,-197.28804,1228.00647,1113.244873,-125.339287,1243.511475,1034.172485,-217.815048,1299.344849,1038.200684,-142.471161,1317.714966,1033.586914,-185.471527,1153.565674,1038.819214,-109.259262,1168.086792,1035.302734
7,,,,,-197.335464,1228.015015,1113.245483,-125.361038,1243.510864,1034.189819,-217.817154,1299.340576,1038.219849,-142.483917,1317.720337,1033.589722,-185.513046,1153.575806,1038.833374,-109.300232,1168.116699,1035.299561
8,,,,,-197.350189,1227.986572,1113.260864,-125.367966,1243.509277,1034.214111,-217.82196,1299.334595,1038.224609,-142.470551,1317.720459,1033.627319,-185.509598,1153.594849,1038.841187,-109.316391,1168.128418,1035.330078
9,,,,,-197.332581,1227.966309,1113.267822,-125.348869,1243.494141,1034.22522,-217.82251,1299.363159,1038.228149,-142.482956,1317.712158,1033.638916,-185.497162,1153.56311,1038.845581,-109.298454,1168.086792,1035.326782
10,,,,,-197.312134,1227.924805,1113.269775,-125.342117,1243.445435,1034.237671,-217.807114,1299.366089,1038.229248,-142.470535,1317.699585,1033.627686,-185.472519,1153.540649,1038.853638,-109.287979,1168.045044,1035.351929
11,,,,,-197.288147,1227.920898,1113.269043,-125.328751,1243.422241,1034.244263,-217.814423,1299.352417,1038.222778,-142.465424,1317.674072,1033.619019,-185.474075,1153.526001,1038.853882,-109.249107,1168.040527,1035.358154
12,,,,,-197.300659,1227.929321,1113.262695,-125.336227,1243.475952,1034.238159,-217.796066,1299.328979,1038.230103,-142.461594,1317.683105,1033.644165,-185.49353,1153.555908,1038.858765,-109.295807,1168.049438,1035.338013
13,,,,,-197.343124,1227.956909,1113.275269,-125.362289,1243.457397,1034.25293,-217.804153,1299.31958,1038.253418,-142.471481,1317.691406,1033.63147,-185.50267,1153.560059,1038.855591,-109.297256,1168.079468,1035.346802
14,,,,,-197.345505,1227.970947,1113.282471,-125.369682,1243.462158,1034.26709,-217.809586,1299.315552,1038.24707,-142.476654,1317.697876,1033.657593,-185.519806,1153.583374,1038.855957,-109.31797,1168.087402,1035.360596
15,,,,,-197.331772,1227.952148,1113.299072,-125.358299,1243.465088,1034.275635,-217.81366,1299.352539,1038.258545,-142.482391,1317.675293,1033.636597,-185.489075,1153.574219,1038.859131,-109.299911,1168.084229,1035.362305
16,,,,,-197.328033,1227.918213,1113.297607,-125.356285,1243.471191,1034.270996,-217.812134,1299.370605,1038.25061,-142.469849,1317.674805,1033.673828,-185.475891,1153.536743,1038.873413,-109.268845,1168.040283,1035.394287
17,,,,,-197.303497,1227.896973,1113.287842,-125.341591,1243.441772,1034.255127,-217.811142,1299.329102,1038.237671,-142.458923,1317.666138,1033.657104,-185.473267,1153.522949,1038.869873,-109.258446,1168.036133,1035.380249
18,,,,,-197.30249,1227.940918,1113.270874,-125.351013,1243.43103,1034.244263,-217.795547,1299.337036,1038.242676,-142.477737,1317.675293,1033.643799,-185.479172,1153.540283,1038.865112,-109.257515,1168.039185,1035.355469
19,,,,,-197.334824,1227.946899,1113.273071,-125.362083,1243.471558,1034.245117,-217.777359,1299.309204,1038.235352,-142.46611,1317.674316,1033.629639,-185.489532,1153.58606,1038.863892,-109.286789,1168.077271,1035.375244
20,,,,,-197.358139,1227.968872,1113.281982,-125.379829,1243.511353,1034.254028,-217.789642,1299.311646,1038.251709,-142.480164,1317.691528,1033.659668,-185.513947,1153.573975,1038.856812,-109.307953,1168.074707,1035.362793
21,,,,,-197.338242,1227.968262,1113.304321,-125.407669,1243.501465,1034.26355,-217.820297,1299.343018,1038.270142,-142.502045,1317.688965,1033.664429,-185.503036,1153.584595,1038.875977,-109.325752,1168.076538,1035.376587
22,,,,,-197.328568,1227.937622,1113.295288,-125.365868,1243.476807,1034.262573,-217.811951,1299.376099,1038.259644,-142.469299,1317.6875,1033.675781,-185.485489,1153.539185,1038.89209,-109.265488,1168.047119,1035.387085
23,,,,,-197.305038,1227.9198,1113.296143,-125.330704,1243.429688,1034.260254,-217.805511,1299.352905,1038.236694,-142.46553,1317.673218,1033.658569,-185.493759,1153.529053,1038.876465,-109.250198,1168.014282,1035.381958
24,,,,,-197.317307,1227.908936,1113.284668,-125.344666,1243.451782,1034.238281,-217.796631,1299.342407,1038.234985,-142.465317,1317.667969,1033.653931,-185.48317,1153.528687,1038.866455,-109.257141,1168.017578,1035.365601
25,,,,,-197.32399,1227.934082,1113.275024,-125.336197,1243.425171,1034.246704,-217.797211,1299.330933,1038.251465,-142.454544,1317.678955,1033.649902,-185.487183,1153.560791,1038.851929,-109.273689,1168.081909,1035.360474
26,,,,,-197.343597,1227.969727,1113.278076,-125.352356,1243.509033,1034.243042,-217.797089,1299.335449,1038.250854,-142.476364,1317.699585,1033.645142,-185.502487,1153.58606,1038.857788,-109.298866,1168.071411,1035.337402
27,,,,,-197.336075,1227.960083,1113.30188,-125.369339,1243.494263,1034.265747,-217.813034,1299.335571,1038.256104,-142.477386,1317.677246,1033.663574,-185.503876,1153.582764,1038.873535,-109.291679,1168.079834,1035.369629
28,,,,,-197.328659,1227.935425,1113.307251,-125.360023,1243.481201,1034.283081,-217.814987,1299.360107,1038.256348,-142.476761,1317.667236,1033.656128,-185.493073,1153.553955,1038.897827,-109.292488,1168.050293,1035.38855
29,,,,,-197.326019,1227.918091,1113.307373,-125.345695,1243.449951,1034.267578,-217.81041,1299.329346,1038.24353,-142.466583,1317.643188,1033.648682,-185.494598,1153.516602,1038.893066,-109.274597,1168.012939,1035.376343
30,,,,,-197.286743,1227.902588,1113.289551,-125.338615,1243.422852,1034.257446,-217.780838,1299.326294,1038.250244,-142.464249,1317.651367,1033.641846,-185.473785,1153.511353,1038.87854,-109.27034,1168.015137,1035.387939
31,,,,,-197.316376,1227.926147,1113.279907,-125.345993,1243.418701,1034.24707,-217.779709,1299.31665,1038.243164,-142.467148,1317.664307,1033.63501,-185.481277,1153.554688,1038.869995,-109.270012,1168.047607,1035.37085
32,,,,,-197.3405,1227.950928,1113.297119,-125.37883,1243.508301,1034.252441,-217.798416,1299.32019,1038.266479,-142.464798,1317.683228,1033.634521,-185.499756,1153.56189,1038.852661,-109.306129,1168.070557,1035.353149
33,,,,,-197.346344,1227.972778,1113.302612,-125.365974,1243.454712,1034.2771,-217.810883,1299.321777,1038.280884,-142.48082,1317.697998,1033.65979,-185.510849,1153.568481,1038.892944,-109.313499,1168.083008,1035.381592
34,,,,,-197.350342,1227.936279,1113.304199,-125.368996,1243.44104,1034.293823,-217.818695,1299.348022,1038.256104,-142.471603,1317.689087,1033.667969,-185.502792,1153.551514,1038.89624,-109.280678,1168.060791,1035.390991
35,,,,,-197.320663,1227.923584,1113.30603,-125.358986,1243.455444,1034.263794,-217.820847,1299.349976,1038.262207,-142.462585,1317.682739,1033.682251,-185.497696,1153.531128,1038.88855,-109.277092,1168.046143,1035.39209
36,,,,,-197.307388,1227.906616,1113.29834,-125.356209,1243.425659,1034.248413,-217.80687,1299.343262,1038.253052,-142.469177,1317.677979,1033.674194,-185.488525,1153.511719,1038.87439,-109.247505,1168.026123,1035.385376
37,,,,,-197.324173,1227.93103,1113.269897,-125.350716,1243.439087,1034.253174,-217.794373,1299.327148,1038.241455,-142.465073,1317.681885,1033.643311,-185.470581,1153.544678,1038.850098,-109.255371,1168.037231,1035.338501
38,,,,,-197.316986,1227.973633,1113.282715,-125.348183,1243.466919,1034.237793,-217.793945,1299.332275,1038.241455,-142.470016,1317.693237,1033.63916,-185.496353,1153.569336,1038.858276,-109.283569,1168.084473,1035.352051
39,,,,,-197.338013,1227.97168,1113.299194,-125.358253,1243.45105,1034.270142,-217.793518,1299.324951,1038.256348,-142.474442,1317.68457,1033.655396,-185.493988,1153.575684,1038.876953,-109.297028,1168.081787,1035.373535
40,,,,,-197.344589,1227.966309,1113.323364,-125.382927,1243.422241,1034.271484,-217.808701,1299.343384,1038.276611,-142.498657,1317.703735,1033.676514,-185.507416,1153.569946,1038.881348,-109.305862,1168.066406,1035.37793
41,,,,,-197.322495,1227.937012,1113.316406,-125.357552,1243.410156,1034.274048,-217.819672,1299.357788,1038.255127,-142.469284,1317.687744,1033.660034,-185.498398,1153.548828,1038.894043,-109.292061,1168.033203,1035.386597
42,,,,,-197.310135,1227.911621,1113.29248,-125.348854,1243.395386,1034.267578,-217.798935,1299.335571,1038.255249,-142.461273,1317.671631,1033.661743,-185.491043,1153.525635,1038.886963,-109.266663,1168.006226,1035.384155
43,,,,,-197.303391,1227.916992,1113.267578,-125.336662,1243.438721,1034.245361,-217.781998,1299.316284,1038.240112,-142.458496,1317.678955,1033.643066,-185.463989,1153.52771,1038.861328,-109.251518,1168.039185,1035.355347
