,sim_paths,exp_time,last_x,odom_paths,skeleton_paths
10,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231020\20231020_174319_03_08_00_takahashi\20231020_174320_od.csv,4315,7.407477967875834,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\03_10_00__2023-10-20-17-49-05.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\03_01_01__2023-10-20-17-17-02_skeleton.mp4
11,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231020\20231020_174617_03_08_00_takahashi\20231020_174619_od.csv,3870,7.374606153975533,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_00_00__2023-10-21-10-26-47.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\03_02_00__2023-10-20-17-19-53_skeleton.mp4
12,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231020\20231020_174920_03_08_00_takahashi\20231020_174922_od.csv,3182,7.388483637960829,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_01_00__2023-10-21-10-31-04.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\03_03_00__2023-10-20-17-24-31_skeleton.mp4
13,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_102719_04_00_00_yoshino\20231021_102722_od.csv,3563,7.404142632544562,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_02_00__2023-10-21-10-39-44.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\03_04_00__2023-10-20-17-27-43_skeleton.mp4
14,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_103125_04_01_00_yoshino\20231021_103130_od.csv,3683,7.444360742755949,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_03_00__2023-10-21-10-43-05.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\03_05_00__2023-10-20-17-31-30_skeleton.mp4
15,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_103948_04_02_00_yoshino\20231021_103950_od.csv,4266,7.256614236327666,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_04_00__2023-10-21-10-47-54.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\03_06_00__2023-10-20-17-35-12_skeleton.mp4
16,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_104326_04_03_00_yoshino\20231021_104330_od.csv,3682,7.36778158651193,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_05_00__2023-10-21-10-51-00.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\03_07_00__2023-10-20-17-37-47_skeleton.mp4
17,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_104800_04_04_00_yoshino\20231021_104802_od.csv,3418,7.321129731657555,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_06_00__2023-10-21-10-54-44.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\03_08_00__2023-10-20-17-43-08_skeleton.mp4
18,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_105105_04_05_00_yoshino\20231021_105108_od.csv,4563,5.733695340900924,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_07_00__2023-10-21-10-58-36.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\03_09_00__2023-10-20-17-46-05_skeleton.mp4
19,C:/Users/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results\20231021\20231021_105455_04_06_00_yoshino\20231021_105457_od.csv,3479,7.356054505350951,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/results/ras_csv\04_08_00__2023-10-21-11-02-01.csv,C:/Users/hayashide/kazu_ws/sotsuron_experiment/sotsuron_experiment/analysis/mp4/skeleton\03_10_00__2023-10-20-17-49-05_skeleton.mp4
