no,sensor,1-1,1-2,1-3,1-4,1-5,2-1,2-2,2-3,2-4,2-5,2-6,3-1,3-2,3-3,3-4,3-5,4-1,4-2,4-3,4-4,4-5,5-1,5-2,5-3,order,sex
1,d,4,4,5,4,2,4,4,4,4,5,5,5,5,5,4,5,5,4,4,5,5,5,5,2,a,f
2,d,3,4,4,4,3,4,3,3,4,4,5,4,4,3,3,4,4,3,4,5,4,4,3,2,a,m
3,d,2,2,4,2,2,4,3,3,2,3,5,2,2,3,2,2,4,5,4,4,4,1,1,4,a,f
4,d,4,2,4,2,4,4,3,2,3,4,4,4,3,2,3,3,4,2,4,4,4,3,2,4,a,m
5,d,4,3,4,3,3,4,3,4,3,4,4,3,4,3,4,3,4,4,3,4,3,4,4,3,b,f
6,d,3,3,4,2,2,4,4,3,3,4,4,3,2,4,4,4,4,4,4,4,4,2,3,4,b,m
7,d,2,1,4,2,3,4,2,2,3,4,5,2,2,3,2,3,4,4,4,4,4,2,2,4,b,m
8,d,3,4,4,4,4,4,3,3,3,4,5,4,4,4,5,5,5,5,4,5,5,4,4,2,b,m
9,d,4,4,5,3,4,4,3,3,4,4,5,4,4,5,4,5,5,3,3,4,4,4,4,4,b,m
10,d,4,4,4,4,2,4,4,2,3,4,4,3,4,4,3,3,4,3,3,4,4,2,2,4,a,f
12,d,2,2,4,3,2,4,3,4,4,4,4,3,2,3,3,3,4,4,3,2,2,2,2,4,a,m
13,d,4,2,3,3,3,4,4,2,4,4,5,3,3,3,3,4,4,3,4,4,4,4,4,2,a,m
14,d,2,4,4,4,2,3,4,4,4,3,5,1,1,1,2,3,3,3,3,4,3,2,2,4,a,m
15,d,3,3,4,4,2,5,5,3,3,5,5,3,2,3,3,4,4,5,4,4,4,2,2,4,b,f
16,d,1,1,4,2,1,4,3,1,1,2,4,1,1,2,1,2,2,2,3,2,1,1,1,4,a,m
17,d,4,3,5,5,3,4,4,4,4,4,4,2,4,4,3,3,4,4,4,4,4,2,2,3,b,m
18,d,3,4,4,4,3,4,4,3,4,4,4,2,3,3,3,3,4,4,4,4,4,2,3,4,a,m
