timestamp,x,y,theta,pan,v_x,v_y,v_theta,v_pan,timestamp_datetime,timestamp_datetime_round,v_x_LPF,v_y_LPF
1707035045.6818607,-0.00015638699988895777,-0.0008458256320970204,0.00016284683932066366,-6.767947846597622e-07,0.0,0.0,0.0,0.0,2024-02-04 17:24:05.681860608+09:00,2024-02-04 17:24:05.680000+09:00,-0.0029832606642044776,0.0006544685652249763
1707035045.6901963,-0.00023646446468053852,-0.0007540457144343927,0.0001814315685470041,-6.767947846597622e-07,-0.009606693864343754,0.011010607967851667,0.002229563644326885,0.0,2024-02-04 17:24:05.690196224+09:00,2024-02-04 17:24:05.690000+09:00,-0.0027963570329086846,0.0005457023807866601
1707035045.6985319,-0.00031654397948145804,-0.000662263447175798,0.00020001677354850264,-6.767947846597622e-07,-0.00960693979885464,0.011010889843023649,0.0022296207218867733,0.0,2024-02-04 17:24:05.698531840+09:00,2024-02-04 17:24:05.700000+09:00,-0.0025990058994111113,0.0004352248806196077
1707035045.7068677,-0.0003966234942823776,-0.0005704811799172033,0.0002186019785500012,-6.767947846597622e-07,-0.009606665024384523,0.011010574913245225,0.002229556951022663,0.0,2024-02-04 17:24:05.706867712+09:00,2024-02-04 17:24:05.710000+09:00,-0.002392005145110989,0.00032329730350035127
1707035045.7193644,-0.0006012877183950022,-0.0005159657120096989,0.0001818033558456054,-6.767947846597622e-07,-0.016377448704616573,0.004362385674068822,-0.00294466489370482,0.0,2024-02-04 17:24:05.719364352+09:00,2024-02-04 17:24:05.720000+09:00,-0.0021761816990317636,0.00021018343675161335
1707035045.731861,-0.0008059519425076267,-0.0004614502441021944,0.0001450047331412096,-6.767947846597622e-07,-0.01637744870461657,0.004362385674068827,-0.00294466489370482,0.0,2024-02-04 17:24:05.731860992+09:00,2024-02-04 17:24:05.730000+09:00,-0.0019523884866171788,9.61487314045296e-05
1707035045.7401824,-0.0008737675819012153,-0.0001593982028023745,3.5421317332635834e-05,-6.767947846597622e-07,-0.008149659262251049,0.03629872457257464,-0.013169049316932099,0.0,2024-02-04 17:24:05.740182272+09:00,2024-02-04 17:24:05.740000+09:00,-0.001721501299630334,-1.8540580595156152e-05
1707035045.7485037,-0.0009415832212948038,0.00014265383849744543,-7.416209847593792e-05,-6.767947846597622e-07,-0.008149659262251049,0.03629872457257464,-0.013169049316932099,0.0,2024-02-04 17:24:05.748503808+09:00,2024-02-04 17:24:05.750000+09:00,-0.001484415598879832,-0.00013361836389883485
1707035045.7568247,-0.0010093971246302456,0.00044469814736398326,-0.0001837427089849748,-6.767947846597622e-07,-0.008149684135567936,0.03629883535876207,-0.013169089509770361,0.0,2024-02-04 17:24:05.756824832+09:00,2024-02-04 17:24:05.760000+09:00,-0.0012420432616964147,-0.0002488194487942587
1707035045.7693305,-0.0012722696094093484,-6.941128092507196e-06,-0.00013962234537101737,-6.767947846597622e-07,-0.021020096360530958,-0.03611447237725697,0.0035280006403347005,0.0,2024-02-04 17:24:05.769330432+09:00,2024-02-04 17:24:05.770000+09:00,-0.0009953092862184862,-0.00036388048864356546
1707035045.7818367,-0.0015351488238102007,-0.0004585919656624443,-9.550085226129392e-05,-6.767947846597622e-07,-0.021019833008833328,-0.036114019914649464,0.0035279564395402827,0.0,2024-02-04 17:24:05.781836800+09:00,2024-02-04 17:24:05.780000+09:00,-0.0007451484646610648,-0.0004785408026615098
1707035045.7901804,-0.0007497093852228458,-0.00037714971334617555,-0.00014097952778112786,-6.767947846597622e-07,0.09413566633400094,0.009760931668165945,-0.005450662665662979,0.0,2024-02-04 17:24:05.790180352+09:00,2024-02-04 17:24:05.790000+09:00,-0.000492502037784082,-0.0005925432010588545
1707035045.7985237,3.570994637225062e-05,-0.00029570954592487937,-0.00018645703906177075,-6.767947846597622e-07,0.09413863645729666,0.009761239640390131,-0.00545083464235142,0.0,2024-02-04 17:24:05.798523648+09:00,2024-02-04 17:24:05.800000+09:00,-0.0002383143427930296,-0.0007056347896707218
