start_timestamp,end_timestamp,mean_timestamp,cluster_size,mean_x,mean_y,adjacent_vel_x,stride
1703140035.9939587,1703140036.3939176,1703140036.1939383,25,4.822910694828547,-0.6448773498954162,-1.1597034272289561,0.0
1703140037.194045,1703140038.1772375,1703140037.6856413,60,4.038194024193103,-0.5989573274058271,-0.9807395252629557,0.7847166706354436
1703140038.7439306,1703140039.1440032,1703140038.9439669,25,3.414035989482061,-0.7446518006540324,-1.1014040411836277,0.6241580347110425
1703140039.2440732,1703140039.5772986,1703140039.410686,21,3.3169503568702874,-0.7144808433643761,-0.9701772050349564,0.0970856326117735
1703140040.160691,1703140040.743969,1703140040.45233,36,2.626472183362258,-0.7499798728336435,-1.1835570624589726,0.6904781735080294
1703140041.4773939,1703140042.510701,1703140041.9940474,63,2.0397255239010006,-0.8442080642619844,-1.2226091144822129,0.5867466594612574
1703140042.7606335,1703140042.9774687,1703140042.869051,14,1.75647046145369,-0.8533031528983751,-1.1333261229856586,0.2832550624473107
1703140043.0940247,1703140043.3105927,1703140043.2023087,14,1.6176414867727433,-0.8324044626489465,-1.1910932000879433,0.13882897468094657
1703140043.527313,1703140043.6940155,1703140043.6106644,11,1.4089790397824873,-0.7704351089109427,-0.9628189234668098,0.20866244699025605
1703140045.5774107,1703140046.494103,1703140046.0357568,56,1.1578157147631327,-0.5209627535007681,0.932670500281386,0.25116332501935457
1703140046.7940235,1703140047.377291,1703140047.0856571,36,-0.46849203593065514,-0.16658293754555895,-5.422461722860347,1.6263077506937877
1703140047.6608014,1703140048.1438727,1703140047.902337,30,-0.8792325470707905,-0.19119290361044866,-1.4487667602397336,0.4107405111401353
1703140049.4106865,1703140049.644027,1703140049.5273566,15,-2.062429572756779,-0.26379277393886524,-0.9339944573406728,1.1831970256859887
1703140050.0439465,1703140050.3940337,1703140050.21899,22,-2.4664845136928624,-0.25770050745750334,-1.010340658422864,0.4040549409360832
1703140050.4773827,1703140050.6606987,1703140050.5690408,12,-2.53948058143821,-0.33333761351691743,-0.8757882752375874,0.07299606774534784
1703140053.010836,1703140053.3272002,1703140053.169018,20,-4.6665664561065565,-0.42653919358102976,-0.9050900705439322,2.1270858746683463
1703140053.5272362,1703140053.7106245,1703140053.6189303,12,-5.078400142035741,-0.40623273772433516,-2.058797342859841,0.41183368592918423
