,,hayashide_HED,hayashide_HED,hayashide_HED,hayashide_HED,hayashide_HED,hayashide_HED,hayashide_HED,hayashide_HED,hayashide_HED,hayashide_HeadCOM,hayashide_HeadCOM,hayashide_HeadCOM,hayashide_LCL,hayashide_LCL,hayashide_LCL,hayashide_LCL,hayashide_LCL,hayashide_LCL,hayashide_LCL,hayashide_LCL,hayashide_LCL,hayashide_LEJC,hayashide_LEJC,hayashide_LEJC,hayashide_LElbowAngles,hayashide_LElbowAngles,hayashide_LElbowAngles,hayashide_LElbowForce,hayashide_LElbowForce,hayashide_LElbowForce,hayashide_LElbowMoment,hayashide_LElbowMoment,hayashide_LElbowMoment,hayashide_LElbowPower,hayashide_LElbowPower,hayashide_LElbowPower,hayashide_LHN,hayashide_LHN,hayashide_LHN,hayashide_LHN,hayashide_LHN,hayashide_LHN,hayashide_LHN,hayashide_LHN,hayashide_LHN,hayashide_LHU,hayashide_LHU,hayashide_LHU,hayashide_LHU,hayashide_LHU,hayashide_LHU,hayashide_LHU,hayashide_LHU,hayashide_LHU,hayashide_LHeadAngles,hayashide_LHeadAngles,hayashide_LHeadAngles,hayashide_LNeckAngles,hayashide_LNeckAngles,hayashide_LNeckAngles,hayashide_LRA,hayashide_LRA,hayashide_LRA,hayashide_LRA,hayashide_LRA,hayashide_LRA,hayashide_LRA,hayashide_LRA,hayashide_LRA,hayashide_LSJC,hayashide_LSJC,hayashide_LSJC,hayashide_LShoulderAngles,hayashide_LShoulderAngles,hayashide_LShoulderAngles,hayashide_LShoulderForce,hayashide_LShoulderForce,hayashide_LShoulderForce,hayashide_LShoulderMoment,hayashide_LShoulderMoment,hayashide_LShoulderMoment,hayashide_LShoulderPower,hayashide_LShoulderPower,hayashide_LShoulderPower,hayashide_LThoraxAngles,hayashide_LThoraxAngles,hayashide_LThoraxAngles,hayashide_LWJC,hayashide_LWJC,hayashide_LWJC,hayashide_LWristAngles,hayashide_LWristAngles,hayashide_LWristAngles,hayashide_LWristForce,hayashide_LWristForce,hayashide_LWristForce,hayashide_LWristMoment,hayashide_LWristMoment,hayashide_LWristMoment,hayashide_LWristPower,hayashide_LWristPower,hayashide_LWristPower,hayashide_LeftHandCOM,hayashide_LeftHandCOM,hayashide_LeftHandCOM,hayashide_LeftHumerusCOM,hayashide_LeftHumerusCOM,hayashide_LeftHumerusCOM,hayashide_LeftRadiusCOM,hayashide_LeftRadiusCOM,hayashide_LeftRadiusCOM,hayashide_RCL,hayashide_RCL,hayashide_RCL,hayashide_RCL,hayashide_RCL,hayashide_RCL,hayashide_RCL,hayashide_RCL,hayashide_RCL,hayashide_REJC,hayashide_REJC,hayashide_REJC,hayashide_RElbowAngles,hayashide_RElbowAngles,hayashide_RElbowAngles,hayashide_RElbowForce,hayashide_RElbowForce,hayashide_RElbowForce,hayashide_RElbowMoment,hayashide_RElbowMoment,hayashide_RElbowMoment,hayashide_RElbowPower,hayashide_RElbowPower,hayashide_RElbowPower,hayashide_RHN,hayashide_RHN,hayashide_RHN,hayashide_RHN,hayashide_RHN,hayashide_RHN,hayashide_RHN,hayashide_RHN,hayashide_RHN,hayashide_RHU,hayashide_RHU,hayashide_RHU,hayashide_RHU,hayashide_RHU,hayashide_RHU,hayashide_RHU,hayashide_RHU,hayashide_RHU,hayashide_RHeadAngles,hayashide_RHeadAngles,hayashide_RHeadAngles,hayashide_RNeckAngles,hayashide_RNeckAngles,hayashide_RNeckAngles,hayashide_RRA,hayashide_RRA,hayashide_RRA,hayashide_RRA,hayashide_RRA,hayashide_RRA,hayashide_RRA,hayashide_RRA,hayashide_RRA,hayashide_RSJC,hayashide_RSJC,hayashide_RSJC,hayashide_RShoulderAngles,hayashide_RShoulderAngles,hayashide_RShoulderAngles,hayashide_RShoulderForce,hayashide_RShoulderForce,hayashide_RShoulderForce,hayashide_RShoulderMoment,hayashide_RShoulderMoment,hayashide_RShoulderMoment,hayashide_RShoulderPower,hayashide_RShoulderPower,hayashide_RShoulderPower,hayashide_RThoraxAngles,hayashide_RThoraxAngles,hayashide_RThoraxAngles,hayashide_RWJC,hayashide_RWJC,hayashide_RWJC,hayashide_RWristAngles,hayashide_RWristAngles,hayashide_RWristAngles,hayashide_RWristForce,hayashide_RWristForce,hayashide_RWristForce,hayashide_RWristMoment,hayashide_RWristMoment,hayashide_RWristMoment,hayashide_RWristPower,hayashide_RWristPower,hayashide_RWristPower,hayashide_RightHandCOM,hayashide_RightHandCOM,hayashide_RightHandCOM,hayashide_RightHumerusCOM,hayashide_RightHumerusCOM,hayashide_RightHumerusCOM,hayashide_RightRadiusCOM,hayashide_RightRadiusCOM,hayashide_RightRadiusCOM,hayashide_TRX,hayashide_TRX,hayashide_TRX,hayashide_TRX,hayashide_TRX,hayashide_TRX,hayashide_TRX,hayashide_TRX,hayashide_TRX,hayashide_LFHD,hayashide_LFHD,hayashide_LFHD,hayashide_RFHD,hayashide_RFHD,hayashide_RFHD,hayashide_LBHD,hayashide_LBHD,hayashide_LBHD,hayashide_RBHD,hayashide_RBHD,hayashide_RBHD,hayashide_C7,hayashide_C7,hayashide_C7,hayashide_T10,hayashide_T10,hayashide_T10,hayashide_CLAV,hayashide_CLAV,hayashide_CLAV,hayashide_STRN,hayashide_STRN,hayashide_STRN,hayashide_RBAK,hayashide_RBAK,hayashide_RBAK,hayashide_LSHO,hayashide_LSHO,hayashide_LSHO,hayashide_LUPA,hayashide_LUPA,hayashide_LUPA,hayashide_LELB,hayashide_LELB,hayashide_LELB,hayashide_LFRM,hayashide_LFRM,hayashide_LFRM,hayashide_LWRA,hayashide_LWRA,hayashide_LWRA,hayashide_LWRB,hayashide_LWRB,hayashide_LWRB,hayashide_LFIN,hayashide_LFIN,hayashide_LFIN,hayashide_RSHO,hayashide_RSHO,hayashide_RSHO,hayashide_RUPA,hayashide_RUPA,hayashide_RUPA,hayashide_RELB,hayashide_RELB,hayashide_RELB,hayashide_RFRM,hayashide_RFRM,hayashide_RFRM,hayashide_RWRA,hayashide_RWRA,hayashide_RWRA,hayashide_RWRB,hayashide_RWRB,hayashide_RWRB,hayashide_RFIN,hayashide_RFIN,hayashide_RFIN,hayashide_LASI,hayashide_LASI,hayashide_LASI,hayashide_RASI,hayashide_RASI,hayashide_RASI,hayashide_LPSI,hayashide_LPSI,hayashide_LPSI,hayashide_RPSI,hayashide_RPSI,hayashide_RPSI,hayashide_LTHI,hayashide_LTHI,hayashide_LTHI,hayashide_LKNE,hayashide_LKNE,hayashide_LKNE,hayashide_LTIB,hayashide_LTIB,hayashide_LTIB,hayashide_LANK,hayashide_LANK,hayashide_LANK,hayashide_LHEE,hayashide_LHEE,hayashide_LHEE,hayashide_LTOE,hayashide_LTOE,hayashide_LTOE,hayashide_RTHI,hayashide_RTHI,hayashide_RTHI,hayashide_RKNE,hayashide_RKNE,hayashide_RKNE,hayashide_RTIB,hayashide_RTIB,hayashide_RTIB,hayashide_RANK,hayashide_RANK,hayashide_RANK,hayashide_RHEE,hayashide_RHEE,hayashide_RHEE,hayashide_RTOE,hayashide_RTOE,hayashide_RTOE,robot_robot1,robot_robot1,robot_robot1,robot_robot2,robot_robot2,robot_robot2,robot_robot3,robot_robot3,robot_robot3,robot_robot4,robot_robot4,robot_robot4,robot_robot5,robot_robot5,robot_robot5,robot_robot6,robot_robot6,robot_robot6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
