start_timestamp,end_timestamp,mean_timestamp,cluster_size,mean_x,mean_y,adjacent_vel_x,stride
1703154262.0642173,1703154262.630914,1703154262.3475657,35,7.619871524212713,-0.6190882088310368,-0.3367362464411764,0.0
1703154267.7307503,1703154267.9475775,1703154267.8391638,14,6.114714602090859,-0.5029194184251417,-0.4472108038366548,1.505156922121854
1703154268.380898,1703154268.614148,1703154268.4975228,15,5.675527411627553,-0.5287323204083357,-1.0135388652346857,0.439187190463306
1703154271.4310126,1703154271.5975492,1703154271.5142808,11,4.8781123055931115,-0.5110407745057934,-0.9097938852888687,0.7974151060344417
1703154273.5141363,1703154274.2810051,1703154273.8975706,47,4.51250428142391,-0.495505642622072,-0.5286996534305888,0.3656080241692017
1703154275.0641944,1703154275.6141448,1703154275.3391695,34,4.058566938355888,-0.4822977853880114,-0.579601055540104,0.4539373430680218
1703154275.6641333,1703154276.0475621,1703154275.8558478,24,4.035506572816781,-0.4971019209312031,-0.46131333696832144,0.02306036553910662
1703154276.59752,1703154276.8974934,1703154276.7475066,19,3.758835551178817,-0.48461469590989426,-0.5030766464776599,0.2766710216379642
1703154277.9641976,1703154278.24754,1703154278.1058688,18,3.6153666534814954,-0.6558003027120985,-0.5300149300836066,0.14346889769732174
1703154278.6974347,1703154279.114252,1703154278.9058433,26,3.409382712350699,-0.5272849902310259,-0.45784926203867254,0.20598394113079666
1703154281.7808208,1703154281.9641838,1703154281.8725023,12,2.8164703200853225,-0.5639658214012645,-0.5071464413796087,0.5929123922653763
1703154282.2807431,1703154282.6973975,1703154282.4890704,26,2.650523859032818,-0.480509063958248,-0.5242191694634094,0.16594646105250455
1703154282.7975342,1703154283.06414,1703154282.9308372,17,2.6853298570377695,-0.47546503524674494,0.3475846340895808,0.034805998004951544
1703154288.58083,1703154288.7475753,1703154288.6642027,11,1.5562333137928142,-0.5790978001657203,-0.445985591325779,1.1290965432449553
1703154295.2808106,1703154295.5974944,1703154295.4391525,20,0.4633619467916293,-0.7305630597390819,-0.35640872719108824,1.092871367001185
1703154298.647478,1703154298.8474996,1703154298.747489,13,-0.3059089436845259,-0.4710607036680029,-0.37839480468638903,0.7692708904761552
1703154301.3140888,1703154301.4975004,1703154301.4057946,12,-0.888311088164961,-0.5938689955813136,-0.37386830431179485,0.582402144480435
1703154303.7476065,1703154304.147503,1703154303.9475546,25,-1.6430913507551856,-0.6854050380627165,-0.5822903735807753,0.7547802625902247
1703154307.4808743,1703154307.7809768,1703154307.6309257,19,-2.6399246459138688,-0.8005767556796136,-0.6415596095395177,0.9968332951586831
1703154308.4808354,1703154309.0140343,1703154308.7474349,33,-3.4368167806928582,-1.3010923986481207,-1.138647235650113,0.7968921347789895
