,t,x,y,z,vx,vy,vz
0,1703151638.3081355,9.67656647225597,-0.9506130784175082,0.6434794512978789,0.0,0.0,0.0
1,1703151638.64357,9.765352680729453,-0.8680177556737108,0.6418848141855169,0.26469020092568735,0.24623387965831642,-0.004753945741479743
2,1703151638.6923857,9.77142304518701,-0.8624937699264218,0.6417872174340543,0.12435263800275657,0.11315996012560359,-0.0019992891019524257
3,1703151638.803959,9.71439987961798,-0.9165590824378512,0.6509882740635339,-0.5110829097442653,-0.4845724883709677,0.08246653352177621
4,1703151638.8064399,9.704343633270721,-0.9265416733659779,0.6527878612220528,-4.053330220958688,-4.02364223142471,0.7253522599773693
5,1703151638.8442419,9.691679643425875,-0.9387295556561496,0.6545864891726004,-0.33500862968342937,-0.32241385177950654,0.04758025649148082
6,1703151638.910967,9.683046016177023,-0.945810374510932,0.6557564683683912,-0.12939069877858483,-0.10611902426836144,0.01753427862199041
7,1703151639.0752296,9.682755223059965,-0.9468229196060745,0.6524884090097859,-0.0017702948530895462,-0.0061641877517159575,-0.01989534250557088
8,1703151639.120894,9.683698341913969,-0.9474362519453488,0.6517060382211861,0.020653303304036242,-0.013431328167637145,-0.01713309104634879
9,1703151639.132207,9.682861603034087,-0.9485366856075363,0.6514588014474745,-0.07396284996505406,-0.09727193490090781,-0.02185429270655011
10,1703151639.2364364,9.707122310444964,-0.950615913692661,0.648469288254836,0.23276250002577695,-0.019948566174143985,-0.02868203934839192
11,1703151639.258762,9.715276783294264,-0.9495583266162969,0.6475830548623607,0.36525350373464294,0.047371227090367916,-0.03969598743050697
12,1703151639.310948,9.727764476081619,-0.9526216004940808,0.6457429918253069,0.23929195285527083,-0.058699136888418824,-0.03525969808924681
13,1703151639.5212414,9.73634219740607,-0.9390513382555808,0.6598270599314607,0.04078927804682634,0.06453009822511521,0.06697337769353072
14,1703151639.5383468,9.738245159694983,-0.9362377960645457,0.6614040654613833,0.11124959704838394,0.16448325689633325,0.0921937501174487
15,1703151639.557173,9.73916287860448,-0.9371238278365728,0.6629842758795824,0.04874678131501417,-0.04706364506845228,0.08393656368038463
16,1703151639.581309,9.739571541173005,-0.9358007670827747,0.6637370958868924,0.016931614337212023,0.05481675140662471,0.031190666850470034
17,1703151639.6964207,9.714043973358953,-0.9433968059098413,0.664641915731016,-0.22176366376371365,-0.06598848008757177,0.007860371389103058
18,1703151639.7118347,9.708448509147273,-0.9455636183605749,0.6648422603448945,-0.36301183160209755,-0.14057431639667842,0.012997574907869592
19,1703151639.777664,9.698926063179384,-0.9511351124911939,0.6651391226581616,-0.14465366165739552,-0.08463550537482314,0.004509578816931778
20,1703151640.2104223,9.689537207812755,-0.9470117467228318,0.6648514632440294,-0.021695377506540485,0.009528102569363974,-0.0006647114412997371
21,1703151640.261798,9.689737550054579,-0.9467968408923347,0.664835983983952,0.0038995580492856225,0.00418303076537727,-0.0003012957860622916
22,1703151640.844479,9.709562664710479,-0.9479850099647272,0.6437208164221753,0.034023948891462825,-0.002039140983301626,-0.036237943357506276
23,1703151640.869022,9.709876750805648,-0.9485033338734803,0.642807960884927,0.012797479748534813,-0.021119176644439425,-0.037194420354601306
24,1703151640.9262218,9.710982486472105,-0.9487079210549902,0.6415124330586585,0.019331058332408224,-0.003576701792125169,-0.022649105695496486
25,1703151643.2743816,9.738040112962109,-0.925481607857497,0.6595402925647158,0.01152290683316482,0.00989128307878352,0.0076774415363604544
26,1703151643.278774,9.738270758343587,-0.9254516469646389,0.6596938666670473,0.05251027770263199,0.00682109823364103,0.03496371230014174
27,1703151643.345542,9.73761103053772,-0.9253098293097021,0.6600948895058233,-0.009880908336382976,0.0021240384844296635,0.0060062193460672045
28,1703151643.4350603,9.736845074647826,-0.9271594565557136,0.6595810286393282,-0.008556416017390189,-0.020661999473869316,-0.005740287928855956
29,1703151643.4789531,9.730349209134522,-0.9322837878953294,0.6584809752020773,-0.14799367032002197,-0.11674635217314366,-0.025062240804320464
30,1703151643.545518,9.72727532306562,-0.9347323214415981,0.6577409165642659,-0.046178853461015926,-0.03678421037507784,-0.01111786794370448
31,1703151643.6479108,9.717525672556997,-0.9348649427940323,0.657019350425341,-0.0952180217034524,-0.001295220049503554,-0.007047032118317371
32,1703151643.6789262,9.69753723732266,-0.9393243238240656,0.655559488316821,-0.6444681589164348,-0.14377959298161833,-0.047068949335940975
33,1703151643.7456667,9.685421086290562,-0.941146362980253,0.6546363895798177,-0.18154117364531008,-0.027300346947284716,-0.013831160379407953
34,1703151643.8634171,9.6369432620308,-0.9409155538701879,0.6604550530499209,-0.4116998471373064,0.001960155530548011,0.049415230525789916
35,1703151643.9076507,9.567330785236686,-0.9414344822556979,0.6688312864696178,-1.5737479847757212,-0.011731553574149125,0.18936376166080854
36,1703151643.955428,9.564479271963393,-0.9418360148687088,0.6691066436421802,-0.05968358780904076,-0.008404276841800463,0.005763362261504122
37,1703151644.1055539,9.558103927292215,-0.9461464388716032,0.6663396354316844,-0.042466631392906656,-0.02871204565701607,-0.018431241571536045
38,1703151644.1409369,9.560007613192926,-0.9463650025807864,0.6659875006262967,0.05380229630741987,-0.006177084906249512,-0.009952094057400523
39,1703151644.2062507,9.558609537641315,-0.9464505392024872,0.6656796455839291,-0.02140551013128522,-0.001309625234704582,-0.004713475048450178
40,1703151644.337138,9.553465230141969,-0.9488895553825518,0.6711923198719142,-0.03930334478194853,-0.01863447973629257,0.042117726873594816
41,1703151644.3602357,9.553071554280175,-0.9493841408742669,0.6728124921740087,-0.01704390261899709,-0.02141270973319947,0.07014415061431648
