Frame,hayashide_CentreOfMass_X,hayashide_CentreOfMass_Y,hayashide_CentreOfMass_Z,hayashide_LHeadAngles_X,hayashide_LHeadAngles_Y,hayashide_LHeadAngles_Z,hayashide_LNeckAngles_X,hayashide_LNeckAngles_Y,hayashide_LNeckAngles_Z,hayashide_RHeadAngles_X,hayashide_RHeadAngles_Y,hayashide_RHeadAngles_Z,hayashide_RNeckAngles_X,hayashide_RNeckAngles_Y,hayashide_RNeckAngles_Z,robot_X,robot_Y,robot_Z
85,,,,,,,,,,,,,,,,-1542.113159,57.898281,1142.384644
86,,,,,,,,,,,,,,,,-1542.133911,57.900188,1142.40332
87,,,,,,,,,,,,,,,,-1542.129761,57.910027,1142.358276
88,,,,,,,,,,,,,,,,-1542.119141,57.911415,1142.338623
89,,,,,,,,,,,,,,,,-1542.103882,57.916679,1142.320557
90,,,,,,,,,,,,,,,,-1542.108521,57.913486,1142.341431
91,,,,,,,,,,,,,,,,-1542.125,57.926048,1142.373413
92,,,,,,,,,,,,,,,,-1542.137207,57.904133,1142.377075
93,,,,,,,,,,,,,,,,-1542.139404,57.920059,1142.386597
94,,,,,,,,,,,,,,,,-1542.118042,57.909721,1142.34082
95,,,,,,,,,,,,,,,,-1542.101562,57.917347,1142.333008
96,,,,,,,,,,,,,,,,-1542.103882,57.910637,1142.34082
97,,,,,,,,,,,,,,,,-1542.127197,57.918068,1142.358643
98,,,,,,,,,,,,,,,,-1542.15271,57.912052,1142.399048
99,,,,,,,,,,,,,,,,-1542.126099,57.923409,1142.388184
100,,,,,,,,,,,,,,,,-1542.13147,57.904667,1142.357788
101,,,,,,,,,,,,,,,,-1542.114258,57.908134,1142.337036
102,,,,,,,,,,,,,,,,-1542.116821,57.920612,1142.355225
103,,,,,,,,,,,,,,,,-1542.133423,57.915504,1142.366577
104,,,,,,,,,,,,,,,,-1542.148804,57.907597,1142.381714
105,,,,,,,,,,,,,,,,-1542.142212,57.901814,1142.395386
106,,,,,,,,,,,,,,,,-1542.133423,57.904144,1142.364624
107,,,,,,,,,,,,,,,,-1542.130737,57.909321,1142.345947
108,,,,,,,,,,,,,,,,-1542.078613,57.909821,1142.32251
109,,,,,,,,,,,,,,,,-1542.099976,57.916851,1142.349731
110,,,,,,,,,,,,,,,,-1542.125732,57.90551,1142.374146
111,,,,,,,,,,,,,,,,-1542.139893,57.90554,1142.394043
112,,,,,,,,,,,,,,,,-1542.114746,57.898991,1142.383179
113,,,,,,,,,,,,,,,,-1542.098999,57.892101,1142.342773
