Frame,hayashide_CentreOfMass_X,hayashide_CentreOfMass_Y,hayashide_CentreOfMass_Z,hayashide_LHeadAngles_X,hayashide_LHeadAngles_Y,hayashide_LHeadAngles_Z,hayashide_LNeckAngles_X,hayashide_LNeckAngles_Y,hayashide_LNeckAngles_Z,hayashide_RHeadAngles_X,hayashide_RHeadAngles_Y,hayashide_RHeadAngles_Z,hayashide_RNeckAngles_X,hayashide_RNeckAngles_Y,hayashide_RNeckAngles_Z,robot_X,robot_Y,robot_Z
1,,,,,,,,,,,,,,,,-1541.135376,36.482956,1147.572144
2,,,,,,,,,,,,,,,,-1541.172485,36.522125,1147.574463
3,,,,,,,,,,,,,,,,-1541.184937,36.540451,1147.594971
4,,,,,,,,,,,,,,,,-1541.14502,36.489105,1147.579468
5,,,,,,,,,,,,,,,,-1541.099121,36.455376,1147.573853
6,,,,,,,,,,,,,,,,-1541.070679,36.467369,1147.564209
7,,,,,,,,,,,,,,,,-1541.113647,36.488071,1147.564453
8,,,,,,,,,,,,,,,,-1541.120117,36.518894,1147.561401
9,,,,,,,,,,,,,,,,-1541.137573,36.5308,1147.580933
10,,,,,,,,,,,,,,,,-1541.120239,36.504688,1147.586914
11,,,,,,,,,,,,,,,,-1541.100342,36.476757,1147.569092
12,,,,,,,,,,,,,,,,-1541.114502,36.451763,1147.569092
13,,,,,,,,,,,,,,,,-1541.11377,36.468182,1147.555054
14,,,,,,,,,,,,,,,,-1541.137939,36.491924,1147.579712
15,,,,,,,,,,,,,,,,-1541.159302,36.516281,1147.59436
16,,,,,,,,,,,,,,,,-1541.180176,36.511795,1147.607788
17,,,,,,,,,,,,,,,,-1541.113037,36.475689,1147.580078
18,,,,,,,,,,,,,,,,-1541.119751,36.448982,1147.571045
19,,,,,,,,,,,,,,,,-1541.112183,36.465168,1147.586548
20,,,,,,,,,,,,,,,,-1541.124268,36.491039,1147.588501
21,,,,,,,,,,,,,,,,-1541.120605,36.514858,1147.602661
22,,,,,,,,,,,,,,,,-1541.135376,36.524593,1147.592285
23,,,,,,,,,,,,,,,,-1541.146851,36.487659,1147.599854
24,,,,,,,,,,,,,,,,-1541.105469,36.457516,1147.567383
25,,,,,,,,,,,,,,,,-1541.09021,36.437412,1147.571045
26,,,,,,,,,,,,,,,,-1541.137695,36.467445,1147.586426
27,,,,,,,,,,,,,,,,-1541.150879,36.516109,1147.596436
28,,,,,,,,,,,,,,,,-1541.184448,36.523506,1147.597656
29,,,,,,,,,,,,,,,,-1541.142578,36.510071,1147.591187
30,,,,,,,,,,,,,,,,-1541.119019,36.473007,1147.579346
31,,,,,,,,,,,,,,,,-1541.087036,36.447536,1147.572876
32,,,,,,,,,,,,,,,,-1541.101685,36.474598,1147.569458
33,,,,,,,,,,,,,,,,-1541.133057,36.504658,1147.578003
34,,,,,,,,,,,,,,,,-1541.140991,36.523891,1147.579956
35,,,,,,,,,,,,,,,,-1541.145142,36.521408,1147.598755
36,,,,,,,,,,,,,,,,-1541.114502,36.479179,1147.565308
37,,,,,,,,,,,,,,,,-1541.103149,36.460159,1147.55835
38,,,,,,,,,,,,,,,,-1541.091064,36.455173,1147.560913
39,,,,,,,,,,,,,,,,-1541.119629,36.486259,1147.569946
40,,,,,,,,,,,,,,,,-1541.150391,36.505993,1147.591064
41,,,,,,,,,,,,,,,,-1541.151489,36.506992,1147.603027
42,,,,,,,,,,,,,,,,-1541.110596,36.473522,1147.580078
43,,,,,,,,,,,,,,,,-1541.089722,36.459732,1147.563843
44,,,,,,,,,,,,,,,,-1541.09729,36.467812,1147.578369
45,,,,,,,,,,,,,,,,-1541.110718,36.492542,1147.576904
46,,,,,,,,,,,,,,,,-1541.144653,36.521599,1147.595825
47,,,,,,,,,,,,,,,,-1541.157715,36.51627,1147.595215
48,,,,,,,,,,,,,,,,-1541.130615,36.505436,1147.576904
49,,,,,,,,,,,,,,,,-1541.103882,36.468643,1147.573364
50,,,,,,,,,,,,,,,,-1541.0896,36.463566,1147.565063
51,,,,,,,,,,,,,,,,-1541.102539,36.476467,1147.578735
52,,,,,,,,,,,,,,,,-1541.134888,36.513706,1147.585083
53,,,,,,,,,,,,,,,,-1541.152222,36.532139,1147.584839
54,,,,,,,,,,,,,,,,-1541.126099,36.523968,1147.576172
55,,,,,,,,,,,,,,,,-1541.118774,36.487621,1147.575928
56,,,,,,,,,,,,,,,,-1541.092529,36.460606,1147.568726
57,,,,,,,,,,,,,,,,-1541.114014,36.473438,1147.578857
58,,,,,,,,,,,,,,,,-1541.137939,36.498428,1147.60144
59,,,,,,,,,,,,,,,,-1541.141113,36.520267,1147.596558
60,,,,,,,,,,,,,,,,-1541.164307,36.505936,1147.594482
61,,,,,,,,,,,,,,,,-1541.125977,36.481827,1147.571289
62,,,,,,,,,,,,,,,,-1541.103271,36.465649,1147.577148
63,,,,,,,,,,,,,,,,-1541.094971,36.466534,1147.574097
64,,,,,,,,,,,,,,,,-1541.130127,36.499821,1147.588623
65,,,,,,,,,,,,,,,,-1541.171631,36.5224,1147.601074
66,,,,,,,,,,,,,,,,-1541.141235,36.530525,1147.587891
67,,,,,,,,,,,,,,,,-1541.11377,36.500595,1147.569214
68,,,,,,,,,,,,,,,,-1541.100464,36.464729,1147.558594
69,,,,,,,,,,,,,,,,-1541.095459,36.472984,1147.573242
70,,,,,,,,,,,,,,,,-1541.122925,36.504124,1147.590088
71,,,,,,,,,,,,,,,,-1541.127441,36.513836,1147.60083
72,,,,,,,,,,,,,,,,-1541.12439,36.522522,1147.581787
73,,,,,,,,,,,,,,,,-1541.145874,36.508575,1147.581543
74,,,,,,,,,,,,,,,,-1541.107788,36.473881,1147.558594
75,,,,,,,,,,,,,,,,-1541.110107,36.461464,1147.572144
76,,,,,,,,,,,,,,,,-1541.113037,36.476345,1147.604614
77,,,,,,,,,,,,,,,,-1541.12207,36.510204,1147.611694
78,,,,,,,,,,,,,,,,-1541.162231,36.524708,1147.596191
79,,,,,,,,,,,,,,,,-1541.138306,36.520569,1147.578735
80,,,,,,,,,,,,,,,,-1541.118164,36.483181,1147.558105
81,,,,,,,,,,,,,,,,-1541.116577,36.460575,1147.578125
82,,,,,,,,,,,,,,,,-1541.095581,36.475681,1147.587769
83,,,,,,,,,,,,,,,,-1541.13269,36.500187,1147.599121
84,,,,,,,,,,,,,,,,-1541.156372,36.525181,1147.607666
85,,,,,,,,,,,,,,,,-1541.132446,36.51627,1147.585083
86,,,,,,,,,,,,,,,,-1541.124756,36.491062,1147.556274
87,,,,,,,,,,,,,,,,-1541.093628,36.473652,1147.56543
88,,,,,,,,,,,,,,,,-1541.089233,36.484943,1147.575073
89,,,,,,,,,,,,,,,,-1541.132324,36.492836,1147.602173
90,,,,,,,,,,,,,,,,-1541.17334,36.514206,1147.609253
91,,,,,,,,,,,,,,,,-1541.171997,36.517609,1147.59314
92,,,,,,,,,,,,,,,,-1541.132202,36.493668,1147.581299
93,,,,,,,,,,,,,,,,-1541.097168,36.485977,1147.561523
94,,,,,,,,,,,,,,,,-1541.095215,36.457272,1147.589722
95,,,,,,,,,,,,,,,,-1541.114624,36.457375,1147.608521
96,,,,,,,,,,,,,,,,-1541.150757,36.496864,1147.607178
97,,,,,,,,,,,,,,,,-1541.15625,36.515636,1147.599731
98,,,,,,,,,,,,,,,,-1541.106323,36.507244,1147.565674
99,,,,,,,,,,,,,,,,-1541.10083,36.486092,1147.556152
100,,,,,,,,,,,,,,,,-1541.101318,36.48101,1147.573242
101,,,,,,,,,,,,,,,,-1541.112549,36.486382,1147.599365
102,,,,,,,,,,,,,,,,-1541.146484,36.505909,1147.615967
103,,,,,,,,,,,,,,,,-1541.157227,36.515064,1147.597656
104,,,,,,,,,,,,,,,,-1541.160278,36.51609,1147.576416
105,,,,,,,,,,,,,,,,-1541.120361,36.498436,1147.55188
106,,,,,,,,,,,,,,,,-1541.112549,36.471336,1147.566895
107,,,,,,,,,,,,,,,,-1541.095093,36.474663,1147.581665
108,,,,,,,,,,,,,,,,-1541.138062,36.474495,1147.615967
109,,,,,,,,,,,,,,,,-1541.155273,36.508572,1147.610962
110,,,,,,,,,,,,,,,,-1541.146362,36.509239,1147.589722
111,,,,,,,,,,,,,,,,-1541.096191,36.491268,1147.543945
112,,,,,,,,,,,,,,,,-1541.109375,36.483624,1147.56543
113,,,,,,,,,,,,,,,,-1541.106323,36.467709,1147.573853
114,,,,,,,,,,,,,,,,-1541.130737,36.467197,1147.616577
115,,,,,,,,,,,,,,,,-1541.160156,36.506973,1147.618774
116,,,,,,,,,,,,,,,,-1541.134399,36.529381,1147.590942
117,,,,,,,,,,,,,,,,-1541.127686,36.506538,1147.553345
118,,,,,,,,,,,,,,,,-1541.085083,36.487335,1147.552368
119,,,,,,,,,,,,,,,,-1541.096802,36.47393,1147.565918
120,,,,,,,,,,,,,,,,-1541.144897,36.485348,1147.604736
121,,,,,,,,,,,,,,,,-1541.137329,36.498451,1147.600708
122,,,,,,,,,,,,,,,,-1541.12439,36.510548,1147.591919
123,,,,,,,,,,,,,,,,-1541.104004,36.508865,1147.5625
124,,,,,,,,,,,,,,,,-1541.098999,36.503704,1147.55896
125,,,,,,,,,,,,,,,,-1541.119385,36.491455,1147.574707
126,,,,,,,,,,,,,,,,-1541.136841,36.474667,1147.592651
127,,,,,,,,,,,,,,,,-1541.133057,36.500694,1147.618042
128,,,,,,,,,,,,,,,,-1541.138794,36.507229,1147.59729
129,,,,,,,,,,,,,,,,-1541.119385,36.496071,1147.570557
130,,,,,,,,,,,,,,,,-1541.109619,36.507927,1147.557007
131,,,,,,,,,,,,,,,,-1541.096069,36.477463,1147.536621
132,,,,,,,,,,,,,,,,-1541.092773,36.470242,1147.5802
133,,,,,,,,,,,,,,,,-1541.110718,36.49519,1147.604858
134,,,,,,,,,,,,,,,,-1541.142822,36.508698,1147.613647
135,,,,,,,,,,,,,,,,-1541.166382,36.512772,1147.572876
136,,,,,,,,,,,,,,,,-1541.137451,36.496048,1147.559448
137,,,,,,,,,,,,,,,,-1541.05896,36.499359,1147.554932
138,,,,,,,,,,,,,,,,-1541.081055,36.481556,1147.591797
139,,,,,,,,,,,,,,,,-1541.146484,36.494831,1147.598633
140,,,,,,,,,,,,,,,,-1541.156616,36.492363,1147.618408
141,,,,,,,,,,,,,,,,-1541.14563,36.508778,1147.587769
142,,,,,,,,,,,,,,,,-1541.104004,36.509121,1147.559692
143,,,,,,,,,,,,,,,,-1541.093506,36.486717,1147.548096
144,,,,,,,,,,,,,,,,-1541.135742,36.478851,1147.562866
145,,,,,,,,,,,,,,,,-1541.143311,36.47279,1147.592285
146,,,,,,,,,,,,,,,,-1541.163086,36.485165,1147.605713
147,,,,,,,,,,,,,,,,-1541.130005,36.518963,1147.606323
148,,,,,,,,,,,,,,,,-1541.088867,36.501987,1147.554199
149,,,,,,,,,,,,,,,,-1541.121582,36.503986,1147.56665
150,,,,,,,,,,,,,,,,-1541.122192,36.488663,1147.550049
151,,,,,,,,,,,,,,,,-1541.102783,36.486301,1147.57373
152,,,,,,,,,,,,,,,,-1541.114502,36.500568,1147.607544
153,,,,,,,,,,,,,,,,-1541.117432,36.511322,1147.609375
