Frame,hayashide_CentreOfMass_X,hayashide_CentreOfMass_Y,hayashide_CentreOfMass_Z,hayashide_LHeadAngles_X,hayashide_LHeadAngles_Y,hayashide_LHeadAngles_Z,hayashide_LNeckAngles_X,hayashide_LNeckAngles_Y,hayashide_LNeckAngles_Z,hayashide_RHeadAngles_X,hayashide_RHeadAngles_Y,hayashide_RHeadAngles_Z,hayashide_RNeckAngles_X,hayashide_RNeckAngles_Y,hayashide_RNeckAngles_Z,hayashide_LThoraxAngles_X,hayashide_LThoraxAngles_Y,hayashide_LThoraxAngles_Z,hayashide_RThoraxAngles_X,hayashide_RThoraxAngles_Y,hayashide_RThoraxAngles_Z,robot_X,robot_Y,robot_Z
62,,,,,,,,,,,,,,,,,,,,,,-1537.797485,29.828386,1142.647583
63,,,,,,,,,,,,,,,,,,,,,,-1537.818481,29.815041,1142.633179
64,,,,,,,,,,,,,,,,,,,,,,-1537.762451,29.800522,1142.61145
65,,,,,,,,,,,,,,,,,,,,,,-1537.727295,29.82436,1142.597412
66,,,,,,,,,,,,,,,,,,,,,,-1537.725708,29.82239,1142.580322
67,,,,,,,,,,,,,,,,,,,,,,-1537.755371,29.844042,1142.603394
68,,,,,,,,,,,,,,,,,,,,,,-1537.809082,29.853909,1142.654053
69,,,,,,,,,,,,,,,,,,,,,,-1537.796509,29.834101,1142.645752
70,,,,,,,,,,,,,,,,,,,,,,-1537.762817,29.813555,1142.621582
71,,,,,,,,,,,,,,,,,,,,,,-1537.75293,29.826637,1142.608521
72,,,,,,,,,,,,,,,,,,,,,,-1537.743286,29.835155,1142.578247
73,,,,,,,,,,,,,,,,,,,,,,-1537.770142,29.840315,1142.596802
74,,,,,,,,,,,,,,,,,,,,,,-1537.797974,29.846687,1142.623535
75,,,,,,,,,,,,,,,,,,,,,,-1537.790894,29.826199,1142.644043
76,,,,,,,,,,,,,,,,,,,,,,-1537.791992,29.811758,1142.624023
77,,,,,,,,,,,,,,,,,,,,,,-1537.768188,29.818176,1142.606079
78,,,,,,,,,,,,,,,,,,,,,,-1537.749878,29.808075,1142.592285
79,,,,,,,,,,,,,,,,,,,,,,-1537.764526,29.827614,1142.584106
80,,,,,,,,,,,,,,,,,,,,,,-1537.781494,29.835499,1142.609253
81,,,,,,,,,,,,,,,,,,,,,,-1537.801636,29.841068,1142.640991
82,,,,,,,,,,,,,,,,,,,,,,-1537.789551,29.819424,1142.633789
83,,,,,,,,,,,,,,,,,,,,,,-1537.762695,29.810324,1142.626709
84,,,,,,,,,,,,,,,,,,,,,,-1537.733398,29.828356,1142.587036
85,,,,,,,,,,,,,,,,,,,,,,-1537.736328,29.835241,1142.59436
86,,,,,,,,,,,,,,,,,,,,,,-1537.759766,29.851923,1142.59375
87,,,,,,,,,,,,,,,,,,,,,,-1537.794434,29.852783,1142.620239
88,,,,,,,,,,,,,,,,,,,,,,-1537.778809,29.825129,1142.623169
89,,,,,,,,,,,,,,,,,,,,,,-1537.752563,29.79949,1142.615601
90,,,,,,,,,,,,,,,,,,,,,,-1537.737183,29.811342,1142.594604
91,,,,,,,,,,,,,,,,,,,,,,-1537.73877,29.830345,1142.575195
92,,,,,,,,,,,,,,,,,,,,,,-1537.774048,29.835747,1142.5802
93,,,,,,,,,,,,,,,,,,,,,,-1537.774536,29.844112,1142.61499
94,,,,,,,,,,,,,,,,,,,,,,-1537.782349,29.842812,1142.624878
95,,,,,,,,,,,,,,,,,,,,,,-1537.751343,29.805683,1142.61084
96,,,,,,,,,,,,,,,,,,,,,,-1537.744019,29.809687,1142.599365
97,,,,,,,,,,,,,,,,,,,,,,-1537.741821,29.808182,1142.587524
98,,,,,,,,,,,,,,,,,,,,,,-1537.760132,29.825638,1142.603516
99,,,,,,,,,,,,,,,,,,,,,,-1537.799805,29.854166,1142.61792
100,,,,,,,,,,,,,,,,,,,,,,-1537.811523,29.848356,1142.629761
101,,,,,,,,,,,,,,,,,,,,,,-1537.756836,29.807724,1142.62085
102,,,,,,,,,,,,,,,,,,,,,,-1537.730103,29.787834,1142.591553
103,,,,,,,,,,,,,,,,,,,,,,-1537.742798,29.798105,1142.599121
104,,,,,,,,,,,,,,,,,,,,,,-1537.757568,29.828693,1142.585815
105,,,,,,,,,,,,,,,,,,,,,,-1537.820312,29.846701,1142.620972
106,,,,,,,,,,,,,,,,,,,,,,-1537.797363,29.865719,1142.633667
107,,,,,,,,,,,,,,,,,,,,,,-1537.756714,29.814384,1142.61377
108,,,,,,,,,,,,,,,,,,,,,,-1537.753296,29.797283,1142.614746
109,,,,,,,,,,,,,,,,,,,,,,-1537.724487,29.795439,1142.587158
110,,,,,,,,,,,,,,,,,,,,,,-1537.752075,29.804909,1142.601074
