timestamp_datetime,timestamp,gravity_x,gravity_y,gravity_z,nose_x,nose_y,nose_z,l_eye_x,l_eye_y,l_eye_z,r_eye_x,r_eye_y,r_eye_z,l_ear_x,l_ear_y,l_ear_z,r_ear_x,r_ear_y,r_ear_z,l_shoulder_x,l_shoulder_y,l_shoulder_z,r_shoulder_x,r_shoulder_y,r_shoulder_z,l_elbow_x,l_elbow_y,l_elbow_z,r_elbow_x,r_elbow_y,r_elbow_z,l_hand_x,l_hand_y,l_hand_z,r_hand_x,r_hand_y,r_hand_z,l_base_x,l_base_y,l_base_z,r_base_x,r_base_y,r_base_z,l_knee_x,l_knee_y,l_knee_z,r_knee_x,r_knee_y,r_knee_z,l_foot_x,l_foot_y,l_foot_z,r_foot_x,r_foot_y,r_foot_z,gravity_vx,gravity_vy
2023-10-22 16:41:55.150000+09:00,1697960515.1511135,4.984393873640274,0.7883439574525947,1.0777379185775775,4.730919393476425,0.7584291959105776,1.5860666853097254,4.705378706304517,0.7203619190594606,1.6111998407276769,4.824017894768951,0.800089795948823,1.6281557973687384,7.8328901399137925,1.0629038709490783,2.0525810763511623,4.986854066525413,0.8660758613081689,1.6505555164400667,5.06138946693111,0.644433494364488,1.466581384532764,4.988618109809615,0.9348747277255585,1.4772697938971506,5.38988176624469,0.6385113594498583,1.2112715162729057,5.273189996336986,1.0527411839374663,1.2373109266524542,6.39833741319166,0.7048014868345021,0.9542911081178421,5.335308928728556,1.1391390186049166,0.9931321047102789,4.90260277555194,0.6944925994531745,1.0516213550182412,4.839381323186626,0.8885023738259392,1.055902449990016,4.884558915034596,0.7131732173441722,0.6094210400503343,4.889295879677754,0.8765459682306722,0.6173675297979374,4.899043640124871,0.7648149755531759,0.26444709027206514,4.974873989840317,0.8442991539957655,0.2905947913727832,-0.3816790370453029,-0.04911700702569209
2023-10-22 16:41:55.170000+09:00,1697960515.1724343,4.976256163649102,0.7872967425939961,1.077891800593974,4.722674199583599,0.7577429555603338,1.5858096072182588,4.699980947279125,0.7199301740112733,1.6115264044734012,4.793973661335268,0.7960828620894606,1.625151878964373,8.205938927575088,1.1102266737980466,2.105972328662133,4.917072009378023,0.8555512285960082,1.642837869153184,5.063111584329983,0.645279794950506,1.4661111026540439,4.954138817552445,0.930381331525933,1.474974753613251,5.3917118972705085,0.6412085431656873,1.209935002430913,5.2167435834739315,1.0433289799859375,1.2376231547494487,6.47725647964712,0.718306328917793,0.951953447831977,5.286322047625917,1.1300457589271211,0.9952695799191765,4.894515263995561,0.6969373386743369,1.0513856650620348,4.833592534795723,0.8910768953295064,1.0563203200700393,4.877564320782013,0.7158644848439272,0.6089471804754767,4.883073722316836,0.8780286668077976,0.6172671716826686,4.885678234912502,0.7684535568718001,0.2653357843456897,4.966310348106086,0.847188156669291,0.2943244912613932,-0.33577258637981433,-0.04320945842853928
2023-10-22 16:41:55.190000+09:00,1697960515.1922636,4.9695980372926885,0.7864399304369608,1.0780177040619345,4.715928131853105,0.7571814861828616,1.5855992705979678,4.695564598985624,0.7195769280627565,1.6117935929926304,4.769392015798618,0.7928044616590731,1.6226941275426197,8.51116066293433,1.1489453306744752,2.1496560805529272,4.859977598984704,0.8469401654678765,1.6365234304639162,5.064520589474515,0.6459722227027025,1.4657263265714549,4.925928487523851,0.9267049164535124,1.4730969933809694,5.393209277200723,0.6434153298422747,1.2088414911056464,5.170560154767796,1.0356280858437776,1.237878614101535,6.541826624928859,0.7293557451677584,0.9500408166889965,5.246241872178303,1.1226058191907429,0.9970184232719109,4.887898209085796,0.698937579855288,1.0511928278251386,4.828856253384983,0.8931833220142432,1.0566622137718764,4.871841470938991,0.7180664309800904,0.6085594771869569,4.877982866294268,0.8792417838254457,0.6171850604974487,4.874742903375109,0.7714305779506744,0.2660628976786553,4.9593037321417155,0.8495518861294483,0.29737606389752863,-0.2550592084072033,-0.03282272201346663
2023-10-22 16:41:55.210000+09:00,1697960515.2136216,4.964150479364714,0.7857389023084774,1.078120715990266,4.7104086218917915,0.756722102146748,1.5854271769995478,4.691951223109123,0.7192879086503335,1.6120122017810905,4.749279760359542,0.7901221340342107,1.6206832400157307,8.760887537319164,1.1806242317551894,2.185397332099941,4.81326399048108,0.8398947501812234,1.6313570715363337,5.065673411865496,0.6465387544999541,1.465411509776609,4.902847308409547,0.9236969404851681,1.471560644100012,5.394434406234535,0.6452208825776643,1.2079468000213371,5.13277371309914,1.0293273542729195,1.2380876262986964,6.5946567437957375,0.7383961766450028,0.9484759366629216,5.213449001357529,1.1165185957700698,0.9984492951059664,4.882484255068715,0.7005741408215207,1.051035051904042,4.824981114048923,0.894906762029028,1.0569419449824704,4.867159139249246,0.7198680232733149,0.6082422654054407,4.87381762045762,0.8802343341126123,0.6171178786186325,4.865795813935424,0.7738663224697533,0.2666578085874453,4.9535710463526845,0.8514858465968499,0.2998728051452758,-0.1986842776652887,-0.02556801950016703
2023-10-22 16:41:55.240000+09:00,1697960515.2360547,4.9596933865145525,0.7851653338397183,1.0782049984770825,4.6965121845145505,0.7539863691954007,1.5844182492731869,4.678116661173105,0.7165776256350357,1.6105564799765608,4.727227454205565,0.7860836861469455,1.6181495169424378,8.949809654934045,1.2029787991733005,2.212360199063768,4.7703751585545815,0.83238998457921,1.6259067250163617,5.072139651528303,0.6476559541860271,1.4661535140316126,4.870885919901908,0.918873733310735,1.4689017557216524,5.395436784534927,0.6466981529975286,1.2072147800432662,5.101857533552058,1.0241722102603992,1.2382586362781924,6.637881386505001,0.7457928933082028,0.9471955802779511,5.1866184706859855,1.1115381402440647,0.9996200084247389,4.878054656327468,0.7019131452484384,1.0509059625140535,4.821810545501238,0.8963168493138517,1.0571708159729565,4.863328140594,0.7213420533314076,0.607982728493291,4.870409692045818,0.8810464207112031,0.6170629116268738,4.8584754680302265,0.7758592043489997,0.26714455387645536,4.948880667070751,0.8530681778883602,0.30191559343888713,-0.4575369860207448,-0.06344648420040389
2023-10-22 16:41:55.260000+09:00,1697960515.2619271,4.947855775051003,0.7835238166473605,1.0780922151589765,4.681528879364568,0.7506296854415081,1.5832468264157815,4.662512979271178,0.7131828640141867,1.6087025744765193,4.707031087797705,0.7818558976635602,1.6157136371487182,9.098213315644381,1.2191353216873735,2.2334815400453167,4.733479689390919,0.8253669315642597,1.6209389836876464,5.07987246855114,0.6486451161890867,1.467181318801233,4.8393450430284854,0.9137567018172424,1.4661336662206437,5.439049360719937,0.6522299911178063,1.2090230549455685,5.05170176153484,1.0141988792758756,1.2371288172812251,6.723544065736854,0.757849171653859,0.9434321602953675,5.1523715077627426,1.1038906710910892,0.9998879030124127,4.861715583975376,0.7011171898173179,1.0513799482322184,4.807214643510383,0.895073424726799,1.0565651608461846,4.852721570444509,0.7212736522778093,0.6092492903388874,4.867287150345962,0.8820558258548266,0.6171238907829483,4.8406442057849794,0.7740565089525748,0.269755180011218,4.939798191852528,0.8510915461352385,0.30106157739987405,-0.41123228458798383,-0.057025428422135226
2023-10-22 16:41:55.290000+09:00,1697960515.285479,4.938170456580825,0.7821807571263405,1.077999937898708,4.669269811514582,0.7478833078246869,1.58228838953245,4.649746330442329,0.7104053317789466,1.607185742703758,4.690506788009456,0.7783967979953359,1.6137206445902201,9.219634492589202,1.232354294653433,2.250762637212038,4.703292487347921,0.8196207972793004,1.6168744680550613,5.086199318842552,0.6494544305552266,1.468022249976377,4.81353887104114,0.9095700396862031,1.4638688657198182,5.474732377598582,0.6567560404889425,1.2105025525929067,5.010665220793479,1.006038881197629,1.2362044199200701,6.793631712381098,0.7677133993912142,0.9403529984914354,5.124351265370999,1.097633650875018,1.000107089493237,4.848347252050936,0.700465953555492,1.0517677547288988,4.795272541881502,0.8940560773373922,1.0560696248333712,4.844043467594926,0.7212176877794106,0.6102855682125571,4.8647323435006244,0.8828817027905186,0.6171737828197364,4.826054991220688,0.7725815763555001,0.27189114684875104,4.932367075764891,0.8494743019735936,0.3003628370043179,-0.36081047234540536,-0.05003345441446444
2023-10-22 16:41:55.310000+09:00,1697960515.3074417,4.930246105105225,0.781081890245506,1.0779244383221247,4.6592396650918655,0.7456362715927424,1.581504213900633,4.639254499406572,0.7081247399282002,1.605936689706113,4.676931646524806,0.7755534668122304,1.6120783552657336,9.318673025316798,1.2431382993865954,2.2648526353448117,4.678494492294888,0.8148920800944218,1.6135121634770861,5.091645583072203,0.6501806255692106,1.4687495197175957,4.791862700276161,0.9060723648120785,1.4619490820717211,5.50570414209314,0.6607061498639968,1.2118093170636435,4.976018869465687,0.9991627342928713,1.2353898047791516,6.853713817393226,0.7762343126383663,0.9376914680844793,5.10079442096492,1.0923932422074856,1.0002461749873868,4.836690685057848,0.6999027140177775,1.0521236435927843,4.78475455045183,0.8931521504250566,1.0556074635094528,4.836489284558357,0.7211850324042599,0.6112509217366546,4.862753725138269,0.8837131999216505,0.6172244077356126,4.813176345018135,0.7711875713080105,0.2738446199774647,4.925926940343789,0.8479728879907195,0.2995401784008065,-0.318569203203452,-0.04417587328528325
2023-10-22 16:41:55.330000+09:00,1697960515.3277938,4.9237625448070075,0.780182817343005,1.0778626659412838,4.651033181655099,0.7437977874029695,1.5808626156564194,4.6306702740136805,0.706258801141226,1.604914737253494,4.66582471258282,0.773227104935144,1.6107346640002447,9.399704552093922,1.2519615759864555,2.2763808156352625,4.658205223615133,0.8110231296704304,1.6107611870041976,5.096101617441916,0.6507747851261066,1.4693445585967746,4.774127651468451,0.9032106308241584,1.4603783499960052,5.531044676679596,0.6639380575344956,1.2128784879942462,4.947671854742948,0.9935367959162513,1.2347233014820362,6.902871903312239,0.7832059689314909,0.9355138522969698,5.081520639178129,1.088105635115868,1.0003599722098733,4.827153493881685,0.6994418816687383,1.052414825390509,4.7761489211002806,0.8924125738604184,1.055229331517156,4.830308589346618,0.7211583143700456,0.612040756438189,4.86113485556907,0.8843935157562131,0.6172658281213295,4.802639270852411,0.7700470217237009,0.2754429161736849,4.920657738635614,0.8467444583683679,0.2988670940888426,-0.2760263388331264,-0.03827647005760239
2023-10-22 16:41:55.350000+09:00,1697960515.347012,4.918457813653919,0.7794472122409587,1.077812124902414,4.644318786115925,0.7422935730658827,1.5803376716384263,4.623646816874042,0.7047321239518833,1.604078594337715,4.656737221175741,0.7713237179448007,1.609635280237572,9.46600307400248,1.2591806204772502,2.2858129631456316,4.641604912877152,0.8078576247780738,1.608510388071834,5.09974746374441,0.651260915672658,1.4698314085888304,4.759617156989416,0.9008692121067693,1.4590932055704195,5.551777841341242,0.6665823456285402,1.213753264210194,4.924478842697071,0.9889337554262895,1.2341779806025783,6.943092155427796,0.7889100513531381,0.9337321666526439,5.0657511813525735,1.0845975929499991,1.0004530790282713,4.819350337464825,0.6990648370195246,1.0526530650431927,4.769107951630831,0.891807465762078,1.0549199507961857,4.82525165690065,0.721136454160234,0.6126869848303534,4.859810325921543,0.8849501378026734,0.6172997175278251,4.7940180283531815,0.769113844791084,0.27675061306150145,4.916346573601652,0.845739379586444,0.29831638874269034,-0.23969693679784818,-0.03323868534803497
