,,yoshinari:LFHD,,,yoshinari:RFHD,,,yoshinari:LBHD,,,yoshinari:RBHD,,,yoshinari:C7,,,yoshinari:T10,,,yoshinari:CLAV,,,yoshinari:STRN,,,yoshinari:RBAK,,,yoshinari:LSHO,,,yoshinari:LUPA,,,yoshinari:LELB,,,yoshinari:LFRM,,,yoshinari:LWRA,,,yoshinari:LWRB,,,yoshinari:LFIN,,,yoshinari:RSHO,,,yoshinari:RUPA,,,yoshinari:RELB,,,yoshinari:RFRM,,,yoshinari:RWRA,,,yoshinari:RWRB,,,yoshinari:RFIN,,,yoshinari:LASI,,,yoshinari:RASI,,,yoshinari:LPSI,,,yoshinari:RPSI,,,yoshinari:LTHI,,,yoshinari:LKNE,,,yoshinari:LTIB,,,yoshinari:LANK,,,yoshinari:LHEE,,,yoshinari:LTOE,,,yoshinari:RTHI,,,yoshinari:RKNE,,,yoshinari:RTIB,,,yoshinari:RANK,,,yoshinari:RHEE,,,yoshinari:RTOE,,,HSR:HSR1,,,HSR:HSR2,,,HSR:HSR3,,,HSR:HSR4,,,HSR:HSR5,,,HSR:HSR6,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
163,0,-3399.283203,-643.947571,1660.845459,-3371.723145,-755.726318,1660.489380,,,,,,,,,,,,,-3379.013184,-713.299805,1339.657715,-3343.694092,-721.722839,1182.035645,,,,-3465.858643,-559.015259,1406.151733,-3422.993652,-508.431671,1190.189087,-3465.909424,-476.806305,1091.605347,-3466.448975,-468.770691,1033.668457,-3412.161865,-495.373260,853.847595,,,,-3460.676758,-440.178833,782.696655,-3488.350830,-874.460449,1399.595947,,,,-3451.436279,-956.854553,1091.169067,-3402.527832,-967.611267,969.868713,-3355.657959,-959.476990,868.223572,,,,-3383.605469,-1002.363586,803.214539,-3375.615479,-604.460754,992.087402,-3391.308350,-841.940186,1002.947449,,,,,,,-3447.566650,-535.819275,849.266785,-3444.721924,-582.188599,508.284973,-3477.239746,-573.638062,402.130646,,,,,,,-3368.360352,-685.615234,151.655975,-3425.969971,-893.119202,653.558899,-3438.621826,-876.687988,532.620544,-3471.878662,-873.263855,343.611176,-3503.252197,-831.654114,202.081009,,,,-3368.770264,-765.525879,149.938065,-127.714439,1232.004761,1112.549683,-55.358746,1244.501343,1033.119385,-145.125961,1304.358643,1037.100220,-69.088829,1319.313354,1032.288818,-119.301033,1157.298340,1038.077759,-42.741787,1168.394165,1034.231445
164,0,-3398.087402,-644.507812,1660.899170,-3372.768311,-756.432556,1660.261353,,,,,,,,,,,,,-3380.542969,-713.576660,1339.668823,-3343.579346,-722.388489,1182.137817,,,,-3465.136475,-558.890930,1405.956787,-3421.925537,-508.837158,1189.973511,-3464.060303,-477.014374,1091.359497,-3463.691406,-469.111420,1033.244995,-3414.311523,-497.238251,852.790161,,,,-3464.883301,-439.538513,780.909546,-3489.387695,-874.509888,1399.564087,-3485.139648,-940.708862,1166.072998,-3453.506836,-957.050659,1090.642334,-3406.200195,-968.567322,969.128906,-3357.720459,-961.684143,868.047302,,,,-3387.552002,-1003.756531,802.877991,-3374.562012,-605.088562,992.119690,-3392.067627,-842.897400,1003.241089,,,,,,,-3446.191406,-536.258789,849.304138,-3444.374023,-582.357056,508.288513,-3476.708496,-573.765198,402.061249,,,,,,,-3368.398438,-685.742188,151.734039,-3426.509766,-893.519714,653.664246,-3439.454102,-876.775269,532.505005,-3472.680176,-873.347595,343.557068,-3503.060547,-831.661133,202.091751,,,,-3368.925781,-765.750549,149.886688,-127.739815,1232.009888,1112.542847,-55.395882,1244.548340,1033.123901,-145.142395,1304.356689,1037.088745,-69.098770,1319.323853,1032.295166,-119.331482,1157.307129,1038.068726,-42.768215,1168.425659,1034.224487
165,0,-3398.426270,-644.929138,1660.480835,-3372.541016,-757.274292,1660.254517,,,,,,,,,,,,,-3381.914062,-714.067444,1339.538330,-3344.031738,-723.080078,1182.110962,,,,-3464.477783,-558.888245,1405.882812,-3420.805420,-509.303436,1190.020630,-3461.532471,-477.241791,1091.130737,-3461.366699,-469.411530,1033.495117,-3407.235352,-497.376251,854.001770,,,,-3463.720215,-440.921478,780.427734,-3490.026367,-874.422363,1399.782715,-3479.788818,-942.776611,1167.484009,-3454.392334,-957.121826,1090.849609,-3408.185791,-969.573914,969.271240,-3361.073486,-963.496399,867.807678,,,,-3390.161377,-1004.950989,802.463257,-3373.907471,-605.654114,991.967712,-3392.768066,-843.602539,1003.391968,,,,,,,-3445.306885,-536.548584,849.329468,-3443.415527,-582.593445,508.287903,-3476.258545,-573.970764,402.169006,,,,,,,-3368.258545,-685.945801,151.679779,-3427.070312,-893.782227,653.711060,-3440.364014,-877.102478,531.850647,-3473.860352,-873.554871,343.359802,-3502.717285,-831.803955,201.998077,,,,-3369.073486,-765.776489,149.868256,-127.753380,1232.020630,1112.571899,-55.352268,1244.271362,1033.132202,-145.171112,1304.368774,1037.107178,-69.100761,1319.326660,1032.308960,-119.351089,1157.318970,1038.093628,-42.785709,1168.426880,1034.231323
166,0,-3398.474609,-645.196777,1660.291748,-3372.545654,-757.989929,1660.367065,,,,,,,,,,,,,-3382.631836,-714.448975,1339.498047,-3344.171143,-723.823242,1182.336792,,,,-3463.926758,-558.883179,1405.648193,-3418.490967,-510.088440,1190.211304,-3458.093506,-477.734253,1091.084595,-3459.368164,-469.535431,1033.504517,-3406.241699,-498.192291,853.363403,,,,-3459.303467,-440.726257,780.850952,-3492.226562,-874.219116,1399.040649,-3481.260498,-942.806946,1167.505127,-3456.704834,-957.458923,1090.878906,-3409.832275,-970.132202,969.348816,-3363.919189,-964.197083,867.792358,,,,-3393.602783,-1006.062012,802.197815,-3374.257812,-605.941345,991.967529,-3392.977295,-844.193115,1002.838135,,,,,,,-3445.052979,-536.857300,849.339050,-3442.856689,-582.748596,508.272827,-3475.986816,-574.132751,402.159546,,,,,,,-3368.643555,-685.979004,151.619553,-3427.916016,-894.397461,653.287598,-3440.876221,-877.151917,531.565369,-3474.715576,-873.800720,343.109070,-3502.636230,-831.907532,202.215424,,,,-3369.273682,-766.012329,149.658875,-127.748596,1232.013306,1112.556641,-55.396046,1244.518311,1033.132202,-145.164642,1304.365601,1037.095947,-69.104752,1319.325073,1032.295166,-119.344582,1157.296265,1038.072876,-42.785519,1168.416748,1034.249756
167,0,-3397.164062,-645.846252,1660.478149,-3372.492432,-758.414673,1660.211548,,,,,,,,,,,,,-3383.786621,-714.923767,1339.442749,-3344.564697,-724.455383,1182.339600,,,,-3463.589600,-558.705261,1405.648438,-3417.448730,-510.335693,1190.259277,-3455.492432,-477.872955,1090.804443,-3458.895264,-469.444885,1031.749756,-3402.154785,-499.164062,853.691040,,,,-3456.595215,-440.855835,780.200378,-3493.774170,-874.115540,1399.008789,-3482.217529,-942.882507,1167.749512,-3459.463135,-957.816345,1090.840210,-3412.421143,-971.027527,969.195190,-3366.441406,-964.722534,867.134949,,,,-3396.361328,-1007.018311,802.315613,-3373.773438,-606.372070,992.022034,-3394.143311,-844.622498,1002.969116,,,,,,,-3444.678223,-537.378235,848.513062,-3442.290527,-582.992065,508.286713,-3476.038818,-574.213867,401.963226,,,,,,,-3368.558105,-686.120056,151.728638,-3428.632568,-894.768188,653.198486,-3441.307861,-877.359985,531.482056,-3474.472168,-873.880615,343.291901,-3502.725098,-831.888184,202.345291,,,,-3369.363037,-766.134766,149.559937,-127.727882,1231.995239,1112.547241,-55.379852,1244.482056,1033.117554,-145.154907,1304.381836,1037.080322,-69.097580,1319.335205,1032.303955,-119.325890,1157.281616,1038.067505,-42.759743,1168.384766,1034.249268
168,0,-3396.617432,-646.093140,1660.437988,-3373.154541,-758.801636,1660.325439,,,,,,,,,,,,,-3383.589600,-715.170715,1339.536621,-3344.922363,-725.031799,1182.197754,,,,-3463.081055,-558.719421,1405.527100,-3416.142334,-510.583588,1190.259766,-3455.160156,-477.936279,1090.574707,-3454.031494,-469.871521,1032.422241,-3399.375977,-500.212311,854.023743,,,,-3449.521973,-441.234161,782.197388,-3493.103516,-874.120850,1399.317993,-3483.005127,-942.827026,1167.826416,-3461.197754,-958.053589,1091.089966,-3415.686523,-971.612427,968.732178,-3367.969482,-966.106506,866.655273,,,,-3398.387207,-1007.575623,802.303467,-3373.159912,-606.865295,992.071594,-3395.353271,-845.142212,1002.919678,,,,,,,-3443.522705,-537.539124,848.942200,-3441.853027,-583.102173,508.315857,-3475.710693,-574.498108,402.150330,,,,,,,-3368.469971,-686.092163,151.531174,-3428.899658,-895.011902,653.287659,-3441.422363,-877.455383,531.813416,-3475.513428,-873.888977,343.058258,-3502.131592,-831.996887,202.267471,,,,-3369.402344,-766.143372,149.603531,-127.718956,1231.976929,1112.542725,-55.368351,1244.476929,1033.127075,-145.137863,1304.390015,1037.079224,-69.087677,1319.320312,1032.292969,-119.296333,1157.275879,1038.062012,-42.736595,1168.378296,1034.257324
169,0,-3395.924805,-646.508362,1660.676880,-3373.956787,-759.275818,1660.314087,,,,,,,,,,,,,-3382.862305,-715.796509,1340.065796,-3345.323730,-725.469971,1182.414917,,,,-3462.425537,-558.567749,1405.449463,-3415.138916,-510.849304,1190.284180,-3455.599854,-478.022766,1090.262817,-3451.814941,-469.992401,1032.279419,-3396.846924,-501.228638,854.361389,,,,-3435.608643,-443.901642,782.555176,-3493.967285,-873.981873,1399.400391,-3484.215088,-942.755371,1168.054932,-3463.769531,-958.246460,1091.001709,-3417.285156,-972.103149,968.716064,-3371.410400,-967.426208,866.060364,,,,-3402.326660,-1008.452637,801.893860,-3374.277344,-607.143616,992.064331,-3395.888672,-845.868652,1003.099670,,,,,,,-3442.523193,-537.756897,848.703308,-3441.294678,-583.349670,508.421783,-3475.857178,-574.534363,401.992340,,,,,,,-3368.506836,-686.104675,151.675430,-3429.518311,-895.151917,653.265747,-3441.600586,-877.556213,531.663208,-3475.824463,-874.077637,342.927155,-3502.348145,-832.088379,202.347122,,,,-3369.356934,-766.047913,149.584549,-127.726273,1231.995483,1112.544922,-55.356468,1244.489868,1033.123535,-145.118057,1304.365234,1037.093872,-69.073860,1319.315063,1032.295288,-119.313217,1157.290039,1038.067627,-42.748745,1168.387939,1034.233154
170,0,-3395.468750,-646.687622,1660.740967,-3373.691650,-759.815857,1660.339722,,,,,,,,,,,,,-3384.212891,-716.049988,1339.983154,-3345.244629,-725.963623,1182.407593,,,,-3461.966309,-558.421875,1405.050049,-3413.315674,-511.341095,1190.363281,-3457.348145,-478.185577,1090.367798,-3448.917480,-470.068115,1032.457031,-3391.627930,-502.805298,854.609985,,,,-3432.007568,-444.231903,782.310486,-3494.137939,-873.790405,1399.841797,-3484.890625,-942.713013,1167.963745,-3464.951904,-958.739136,1091.312500,-3419.137451,-972.929749,968.566772,-3375.906006,-968.202637,865.684265,,,,-3405.733643,-1009.317627,801.336731,-3370.645264,-608.117126,992.226501,-3395.520752,-846.197510,1003.216980,,,,,,,-3441.668701,-538.008179,848.890259,-3441.229248,-583.393555,508.380341,-3475.120361,-574.781921,402.173309,,,,,,,-3368.523926,-686.208313,151.665604,-3429.590820,-895.563904,653.353088,-3441.681396,-877.742615,531.582886,-3476.058838,-874.066528,342.894287,-3501.989258,-832.040161,202.669373,,,,-3369.331543,-766.181458,149.607941,-127.731476,1232.010742,1112.543335,-55.386959,1244.542236,1033.102295,-145.124588,1304.360962,1037.100464,-69.092506,1319.336182,1032.295776,-119.323029,1157.311401,1038.057373,-42.746582,1168.420898,1034.216797
171,0,-3395.044189,-646.840820,1660.676514,-3374.060059,-760.158936,1660.215942,,,,,,,,,,,,,-3385.642090,-716.283081,1339.719849,-3345.657715,-726.378113,1182.369873,,,,-3461.333252,-558.465210,1404.998901,-3411.992432,-511.722260,1190.187988,-3454.666016,-478.503540,1090.292725,-3445.763428,-470.578064,1032.386230,-3388.960449,-503.852783,855.084656,,,,-3429.550537,-445.159912,781.980713,-3487.989014,-875.687744,1401.042114,-3485.913330,-942.715393,1168.067261,-3466.344238,-958.901184,1091.760864,-3418.997559,-973.842041,968.512878,-3377.135010,-969.035400,865.577454,,,,-3409.373291,-1010.041138,801.243591,-3374.854492,-608.190857,991.888672,-3398.442139,-846.866760,1002.305847,,,,,,,-3441.573242,-538.137817,848.801941,-3441.645752,-583.489746,508.369690,-3475.225342,-574.645996,402.080170,,,,,,,-3368.495117,-686.215149,151.588791,-3430.083984,-895.774780,653.204285,-3441.737305,-877.834717,531.662048,-3476.195312,-874.101013,342.955322,-3502.383057,-831.935486,202.255173,,,,-3369.374756,-766.319946,149.514694,-127.739746,1232.019897,1112.559570,-55.396172,1244.565918,1033.119629,-145.144043,1304.353516,1037.100220,-69.076805,1319.324341,1032.300537,-119.331985,1157.312866,1038.065552,-42.758526,1168.434692,1034.218140
172,0,-3395.845459,-647.019409,1660.638062,-3373.753906,-760.509888,1660.220825,,,,,,,,,,,,,-3385.407227,-716.755859,1339.745361,-3345.100830,-726.955383,1182.215088,,,,-3461.491943,-558.146240,1404.778320,-3410.618408,-512.254028,1190.151001,-3453.121094,-478.731903,1089.920044,-3449.763672,-469.649628,1030.804321,-3386.218262,-505.258850,855.569702,,,,-3431.989014,-444.886414,780.767639,-3488.732666,-875.580688,1401.053833,-3486.926270,-942.852112,1168.121460,-3467.844238,-958.998840,1091.282959,-3423.822510,-973.296997,968.407776,-3377.659424,-969.064636,865.269592,,,,-3412.526123,-1010.398865,800.729248,-3370.953857,-609.093506,991.846741,-3397.814941,-847.213562,1002.354126,,,,,,,-3441.167725,-538.449646,848.869080,-3440.714355,-583.725586,508.532867,-3475.137207,-574.796753,402.278168,,,,,,,-3368.515869,-686.161438,151.602905,-3430.479980,-896.122070,652.866272,-3442.208496,-877.931519,531.581421,-3476.518311,-874.178711,342.765961,-3502.406738,-831.968201,202.098663,,,,-3369.493408,-766.452087,149.430084,-127.754349,1232.010864,1112.558105,-55.344387,1244.248779,1033.118774,-145.165009,1304.369629,1037.087891,-69.113304,1319.313965,1032.283936,-119.346794,1157.302612,1038.076782,-42.790710,1168.403931,1034.233154
173,0,-3395.467285,-647.096191,1660.527222,-3374.223633,-760.556091,1660.155151,,,,,,,,,,,,,-3384.399414,-717.102234,1340.003906,-3345.134766,-727.377563,1182.317505,,,,-3461.339355,-558.290771,1404.664917,-3409.017334,-512.806274,1190.290894,-3450.623047,-479.057037,1090.135376,-3442.305420,-471.877136,1031.841431,-3381.259033,-506.420380,855.774536,,,,-3428.300049,-446.579346,780.483032,-3489.141357,-875.414734,1401.302979,-3488.063477,-942.877014,1168.184082,-3469.358887,-959.180664,1091.250732,-3425.891602,-973.764832,968.302917,-3382.698486,-969.501404,864.297302,,,,-3414.982910,-1010.752075,800.875366,-3371.685303,-609.446167,991.726257,-3396.552246,-847.264526,1002.636414,,,,,,,-3441.480957,-538.785156,848.622559,-3440.669922,-583.826111,508.637024,-3475.233887,-574.837097,402.109009,,,,,,,-3368.510742,-686.268127,151.554825,-3430.406250,-896.381226,652.968262,-3442.424072,-877.981262,531.604065,-3476.330811,-874.206116,342.660431,-3503.190918,-831.602539,202.088058,,,,-3369.242676,-766.257568,149.555298,-127.746429,1231.982422,1112.571411,-55.347931,1244.247314,1033.140503,-145.166412,1304.373657,1037.079590,-69.110153,1319.311890,1032.301636,-119.331276,1157.281860,1038.078125,-42.774017,1168.377808,1034.239258
174,0,-3394.992920,-646.973816,1660.540771,-3374.461182,-760.731995,1660.068604,,,,,,,,,,,,,-3385.093262,-717.414124,1339.868530,-3344.863770,-727.793335,1182.567871,,,,-3460.785400,-558.066528,1404.423706,-3406.687012,-513.379578,1191.283203,-3445.414307,-479.510406,1090.084717,-3442.097412,-471.978729,1031.879761,-3379.883301,-507.305847,855.654236,,,,-3423.841553,-447.964691,780.551086,-3495.134521,-873.488770,1400.708862,-3489.161621,-942.879883,1168.307129,-3470.004395,-959.184998,1091.292114,-3427.215332,-974.100464,968.209229,-3384.798340,-970.291443,864.244324,,,,-3417.646973,-1010.685547,800.615112,-3371.083008,-609.647400,991.906738,-3395.932373,-847.300293,1002.735474,,,,,,,-3441.393311,-538.871460,848.590332,-3440.682861,-583.846680,508.621338,-3474.948975,-574.908630,402.202179,,,,,,,-3368.729736,-686.348511,151.474319,-3430.835449,-896.416321,652.925354,-3442.224609,-877.977417,531.987244,-3476.413818,-873.963928,342.764435,-3503.017334,-831.819336,201.820343,,,,-3369.430420,-766.352539,149.402588,-127.724991,1231.972900,1112.560303,-55.316162,1244.230957,1033.127686,-145.153137,1304.362793,1037.096069,-69.084534,1319.306885,1032.310669,-119.316818,1157.274902,1038.086914,-42.746460,1168.357300,1034.242432
175,0,-3395.018311,-646.846008,1660.324463,-3374.082031,-760.791626,1660.197510,,,,,,,,,,,,,-3384.734375,-717.690063,1339.832397,-3344.635986,-728.126221,1182.505249,,,,-3460.937744,-557.879700,1404.455444,-3405.573486,-513.777954,1191.279175,-3439.869141,-479.836670,1090.552368,-3438.767822,-473.433380,1031.004395,-3375.216797,-508.535217,856.562927,,,,-3419.623291,-448.074432,781.140442,-3489.490234,-875.287354,1401.697388,-3489.938965,-942.867004,1168.395264,-3470.086914,-959.163452,1091.568970,-3429.205078,-974.605286,967.774536,-3385.639160,-970.804688,863.956055,,,,-3421.072021,-1011.013123,799.933533,-3370.886719,-609.809998,992.017700,-3394.561768,-847.349670,1003.379822,,,,,,,-3440.872070,-538.924133,848.735779,-3440.195801,-584.039551,508.759155,-3474.726318,-575.019775,402.261719,,,,,,,-3368.524658,-686.130798,151.590881,-3430.466797,-896.315247,652.798462,-3441.802979,-877.760132,532.211731,-3474.926025,-873.873108,343.124603,-3503.461670,-831.547913,201.554138,,,,-3369.207275,-766.225708,149.451859,-127.702225,1231.981323,1112.542847,-55.305138,1244.234375,1033.122437,-145.121445,1304.366333,1037.088623,-69.080643,1319.300049,1032.291870,-119.290001,1157.258667,1038.066284,-42.741833,1168.369019,1034.240601
176,0,-3395.318115,-646.855408,1660.371704,-3374.243164,-760.764038,1660.076782,,,,,,,,,,,,,-3383.322510,-718.244019,1341.041748,-3345.025879,-728.348450,1182.504761,,,,-3460.320801,-557.911865,1404.353638,-3404.360596,-514.438049,1191.225464,-3436.201904,-480.128632,1090.433105,-3437.289551,-473.968170,1030.867310,-3371.656250,-509.555511,856.635803,,,,-3416.408447,-449.598755,780.812622,-3495.876953,-873.215210,1400.947632,-3490.635498,-942.861145,1168.577759,-3470.968506,-959.225708,1091.521484,-3431.363525,-974.621765,967.443176,-3387.780762,-971.025024,863.324646,,,,-3423.104004,-1011.160583,799.511292,-3371.087158,-610.012695,992.123474,-3396.231689,-847.588745,1003.240112,,,,,,,-3441.320312,-538.973755,848.598328,-3440.360352,-584.135010,508.695129,-3474.734131,-575.086487,402.334442,,,,,,,-3368.321533,-686.179626,151.671616,-3430.517334,-896.371704,652.797791,-3441.924561,-877.773804,531.523621,-3475.041992,-873.797668,342.874451,-3504.124512,-831.357056,201.258163,,,,-3369.381592,-766.086731,149.346298,-127.711533,1231.981934,1112.549683,-55.305080,1244.239502,1033.116211,-145.122589,1304.343994,1037.115967,-69.069328,1319.311279,1032.297241,-119.314041,1157.282593,1038.073730,-42.744190,1168.399536,1034.224976
177,0,-3394.279785,-646.923584,1660.489868,-3374.533691,-760.898865,1659.988159,,,,,,,,,,,,,-3382.843506,-718.424561,1341.168213,-3345.424072,-728.501465,1182.457520,,,,-3460.370117,-557.804077,1404.113037,-3403.392822,-515.082886,1190.908325,-3431.961182,-480.983276,1090.478394,-3435.934570,-474.486633,1030.482178,-3370.150391,-510.698364,856.706665,,,,-3412.369141,-450.827240,781.075867,-3489.484863,-875.219604,1402.000488,-3491.329102,-943.025818,1168.484985,-3471.441406,-959.262024,1091.427368,-3429.650879,-975.470459,967.551636,-3390.636963,-971.171631,862.822083,,,,-3425.994629,-1011.156189,799.278564,-3370.989258,-610.176331,991.992554,-3393.010498,-847.422668,1003.513000,,,,,,,-3441.668213,-539.126648,848.623718,-3440.705078,-584.083740,508.694824,-3474.691406,-575.199158,402.234406,,,,,,,-3368.726807,-686.283752,151.564331,-3430.277344,-896.360596,652.483398,-3441.598877,-877.763184,531.297607,-3474.386963,-873.638672,342.979156,-3503.471680,-831.508240,201.372986,,,,-3369.155029,-766.120422,149.382431,-127.749535,1232.018188,1112.550415,-55.337349,1244.278320,1033.122437,-145.149490,1304.358154,1037.089722,-69.079849,1319.318848,1032.286011,-119.335617,1157.311523,1038.076660,-42.775074,1168.430054,1034.235474
178,0,-3393.866455,-646.795715,1660.432861,-3374.921143,-760.739868,1659.940796,,,,,,,,,,,,,-3383.784180,-718.110657,1340.303345,-3344.965576,-728.791870,1182.220581,,,,-3460.384766,-557.863770,1404.193359,-3402.881348,-515.518250,1191.061523,-3430.959717,-481.833984,1089.913086,-3436.911377,-474.370361,1029.295044,-3366.367676,-511.724945,857.322632,,,,-3409.241699,-451.943542,781.045959,-3489.883057,-875.256470,1401.828979,-3491.854248,-943.058899,1168.444702,-3472.447754,-959.345032,1091.259644,-3433.748779,-975.144592,966.772766,-3392.253662,-971.518127,862.288452,,,,-3428.676025,-1011.339172,798.778870,-3371.572021,-610.325745,991.885559,-3391.790283,-847.478210,1003.715027,,,,,,,-3443.312744,-539.003235,847.894714,-3440.673828,-584.307068,508.850647,-3474.429932,-574.875366,402.541382,,,,,,,-3368.609619,-686.338867,151.506241,-3429.851562,-896.504456,652.609314,-3441.677490,-877.815613,530.951172,-3474.983643,-873.722412,342.641327,-3503.809082,-831.454346,201.350327,,,,-3369.358154,-766.117126,149.218018,-127.751053,1232.021606,1112.560913,-55.345524,1244.252319,1033.121338,-145.175049,1304.368164,1037.081787,-69.100227,1319.333008,1032.285889,-119.347672,1157.306030,1038.061646,-42.780663,1168.423340,1034.234863
179,0,-3393.967773,-646.743103,1660.259644,-3374.446289,-760.675232,1660.084717,,,,,,,,,,,,,-3383.279053,-718.254700,1340.442017,-3345.387207,-728.987732,1182.537354,,,,-3460.420654,-557.845032,1404.137573,-3402.078125,-516.097717,1190.964111,-3430.560303,-482.355255,1089.846313,-3432.517090,-475.788879,1029.891357,-3364.443115,-512.328918,857.834717,,,,-3406.255127,-452.980133,781.251282,-3490.135254,-875.284912,1401.915649,-3492.916016,-943.173157,1168.529053,-3474.112061,-959.412964,1091.242554,-3434.852539,-975.187256,966.585999,-3393.662354,-971.679260,862.077698,,,,-3431.066406,-1011.175781,798.420715,-3371.624023,-610.407532,991.895935,-3391.937256,-847.471252,1003.795715,,,,,,,-3445.589111,-538.420959,847.631714,-3440.554443,-584.279968,508.798584,-3474.881104,-574.921265,402.590088,,,,,,,-3368.486328,-686.269653,151.486343,-3430.141602,-896.563782,652.480469,-3441.768799,-877.853943,531.022400,-3474.958984,-873.780518,342.761139,-3503.649170,-831.507629,201.356430,,,,-3369.466553,-766.237427,149.190964,-127.745834,1231.993530,1112.566040,-55.386997,1244.483032,1033.126099,-145.166489,1304.388550,1037.100342,-69.122238,1319.330444,1032.295288,-119.338570,1157.292114,1038.074829,-42.764748,1168.384644,1034.239502
180,0,-3393.806885,-646.633728,1660.320312,-3374.669678,-760.626160,1660.140137,,,,,,,,,,,,,-3383.111572,-718.349487,1340.400024,-3345.250732,-729.130310,1182.812378,,,,-3460.292480,-557.894836,1404.141357,-3401.178955,-516.528748,1191.225952,-3429.165039,-482.743042,1089.979858,-3429.896973,-476.727448,1030.008789,-3362.448730,-513.557312,858.165527,,,,-3403.286133,-453.953369,780.895935,-3489.840088,-875.352966,1402.162598,-3493.604736,-943.303223,1168.484741,-3474.588623,-959.396912,1091.228271,-3435.532715,-975.074402,966.630310,-3394.505859,-971.890686,862.122009,,,,-3432.637939,-1011.212708,798.239380,-3372.211914,-610.485352,991.908142,-3396.290527,-847.939148,1003.441956,,,,,,,-3445.732666,-538.453430,847.904907,-3440.435059,-584.300171,508.738922,-3474.542480,-574.889526,402.895599,,,,,,,-3368.670410,-686.312317,151.532150,-3429.785889,-896.770508,652.488098,-3441.479492,-877.825256,531.171265,-3474.451660,-873.784546,343.038788,-3503.516846,-831.525085,201.491882,,,,-3369.424072,-766.144531,149.287079,-127.739189,1231.978027,1112.544312,-55.316105,1244.221680,1033.113281,-145.149811,1304.388916,1037.089233,-69.101921,1319.318481,1032.303101,-119.333733,1157.276489,1038.059570,-42.760212,1168.366821,1034.240723
181,0,-3393.718018,-646.533936,1660.228882,-3374.227783,-760.343750,1660.223877,,,,,,,,,,,,,-3382.637451,-718.495483,1340.798340,-3345.174316,-729.181396,1182.745728,,,,-3460.071289,-557.971924,1404.253662,-3400.682129,-516.838074,1191.558228,-3427.041260,-483.117157,1090.233643,-3428.049805,-477.476044,1029.910400,-3359.924072,-514.815674,858.639221,,,,-3400.905762,-455.409515,781.280823,-3490.046143,-875.318665,1402.295532,-3492.863281,-943.617310,1169.425659,-3475.340332,-959.486267,1091.098511,-3435.968994,-975.272888,966.505371,-3396.308105,-972.116882,860.746033,,,,-3433.415039,-1011.352173,798.173828,-3371.958008,-610.525208,991.944153,-3396.377686,-848.101929,1003.521423,,,,,,,-3446.966553,-538.506531,848.032593,-3440.361328,-584.392273,508.998169,-3475.056885,-575.187866,402.476837,,,,,,,-3368.798096,-686.287659,151.566574,-3429.314209,-897.009827,652.745850,-3441.331787,-877.723083,531.399353,-3474.896484,-873.771545,342.850372,-3503.544678,-831.505127,201.495255,,,,-3369.313721,-766.272461,149.456146,-127.712784,1231.979126,1112.536255,-55.350128,1244.493896,1033.120361,-145.122879,1304.381714,1037.091187,-69.079971,1319.312500,1032.296875,-119.313240,1157.272827,1038.061890,-42.737926,1168.372070,1034.228516
