timestamp,orien_x,orien_y,orien_z,orien_w,ang_vel_x,ang_vel_y,ang_vel_z,lin_acc_x,lin_acc_y,lin_acc_z,orien_cov_01,orien_cov_02,orien_cov_03,orien_cov_04,orien_cov_05,orien_cov_06,orien_cov_07,orien_cov_08,orien_cov_09,ang_vel_cov_01,ang_vel_cov_02,ang_vel_cov_03,ang_vel_cov_04,ang_vel_cov_05,ang_vel_cov_06,ang_vel_cov_07,ang_vel_cov_08,ang_vel_cov_09,lin_acc_cov_01,lin_acc_cov_02,lin_acc_cov_03,lin_acc_cov_04,lin_acc_cov_05,lin_acc_cov_06,lin_acc_cov_07,lin_acc_cov_08,lin_acc_cov_09,lin_acc_x_calib,lin_acc_y_calib,lin_acc_z_calib
1707029424.736676,0.0,0.0,0.0,0.0,-0.007989483270237713,-0.17390441918217425,0.04207794522325197,-4.0590087890625,0.8972167968750001,10.5428955078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2584834400993978,0.8972167968750001,11.226950497322735
1707029424.7377613,0.0,0.0,0.0,0.0,-0.02370213370170522,-0.2082591972441964,0.0346210941710301,-3.036181640625,-0.09091796875,10.285693359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.334055367981811,-0.09091796875,10.719248753951081
1707029424.7388523,0.0,0.0,0.0,0.0,-0.024501082028728992,-0.2122539388793153,0.01944107595757844,-2.0731689453125,-0.456982421875,9.7772705078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4689227017034261,-0.456982421875,9.983644602978183
1707029424.7428005,0.0,0.0,0.0,0.0,-0.009587379924285256,-0.18482337965149911,0.04234426133225989,-1.7286376953125002,-0.4222900390625,9.39326171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7050451614627518,-0.4222900390625,9.524939124156516
1707029424.7452247,0.0,0.0,0.0,0.0,0.0015978966540475428,-0.1510012338074928,0.06285060172587002,-1.7944335937500002,-0.3911865234375,9.095385742187501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5660001836293747,-0.3911865234375,9.253414370582231
1707029424.7463017,0.0,0.0,0.0,0.0,0.006125270507182248,-0.10386328251309028,0.07403587830420282,-2.9871337890625,-0.57421875,9.668408203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44283708285357326,-0.57421875,10.109647905543666
1707029424.7735686,0.0,0.0,0.0,0.0,0.014381069886427884,-0.1299622611958668,0.06977482056007604,-3.702514648437501,-0.8326171875,9.856225585937501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0873900171618787,-0.8326171875,10.472410442365215
1707029424.7746344,0.0,0.0,0.0,0.0,0.0268979270098003,-0.16351809093086522,0.0391484680241648,-4.189404296875001,-0.0418701171875,10.247412109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4594191807762087,-0.0418701171875,10.97409034757882
1707029424.7756574,0.0,0.0,0.0,0.0,0.02024002428460221,-0.22770027320177483,0.007190534943213943,-3.702514648437501,0.9103759765625,10.08232421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0301652780050516,0.9103759765625,10.691147547100817
1707029424.8325202,0.0,0.0,0.0,0.0,-0.022903185374681445,-0.22503711211169564,0.04314320965928366,-1.1759521484375,-1.2405517578125,9.5404052734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2769773588391486,-1.2405517578125,9.527409147394742
1707029424.833562,0.0,0.0,0.0,0.0,-0.0002663161090079238,-0.2002697139739587,0.015180018213451656,-0.97138671875,-1.7597412109375,9.015234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3419635197912183,-1.7597412109375,8.96756248403629
1707029424.8346496,0.0,0.0,0.0,0.0,0.029827404208887465,-0.14221280221023133,-0.03861583580614896,-1.473828125,-1.0491455078125,9.185107421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8988753132902427,-1.0491455078125,9.259070734397786
1707029424.8710573,0.0,0.0,0.0,0.0,0.05006742849348968,-0.09400958647979712,-0.05858954398174324,-2.85673828125,0.2069580078125,9.936376953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2488651993228319,0.2069580078125,10.335889254182192
1707029424.8721826,0.0,0.0,0.0,0.0,0.0346210941710301,-0.12117382959860531,-0.05512743456464023,-4.0781494140625005,0.68427734375,10.62783203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2555037427218054,0.68427734375,11.31396600135838
1707029424.8741002,0.0,0.0,0.0,0.0,0.009853696033293181,-0.21012341000725188,-0.03941478413317272,-3.744384765625,0.50244140625,10.37900390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9955836026339027,0.50244140625,10.988764837285576
1707029424.8918512,0.0,0.0,0.0,0.0,-0.0042610577441267805,-0.28549086885649433,-0.01970739206658636,-2.308837890625,-0.088525390625,9.59423828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1946020946986189,-0.088525390625,9.866218659006476
1707029424.8928752,0.0,0.0,0.0,0.0,0.0,-0.28469192052947057,-0.02157160482964183,-1.356591796875,-0.4270751953125,9.4841796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087988652196571,-0.4270751953125,9.518733442051396
1707029424.893946,0.0,0.0,0.0,0.0,0.01251685712337242,-0.26312031569982874,-0.049002164057457984,-0.8744873046875,-0.299072265625,9.529638671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5659018442410582,-0.299072265625,9.440693442579182
1707029424.9319303,0.0,0.0,0.0,0.0,0.01251685712337242,-0.24367923974225028,-0.09906959255094766,-0.32180175781250003,-0.1926025390625,9.505712890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0945370167527653,-0.1926025390625,9.27766396329259
1707029424.9329996,0.0,0.0,0.0,0.0,0.01890844373956259,-0.2024002428460221,-0.11851066850852608,0.29548339843750004,-0.0095703125,8.7867431640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5097554178655623,-0.0095703125,8.425870495826867
1707029424.9340568,0.0,0.0,0.0,0.0,0.022903185374681445,-0.09480853480682087,-0.1041295986220982,-1.0060791015625,0.5132080078125001,9.773681640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5003609197282342,0.5132080078125001,9.710096038734285
