,truth_velocity_mean[m/s],estm_velocity_mean[m/s],R2,RMSE[m/s],err_std[m/s]
0_1_normal,0.4379252555923076,0.45646559279999993,0.8531964732883787,0.0013493559774788164,0.033006254909928805
2_avoid,0.39406990059999997,0.38296618375,0.9393233460259938,0.0005604316365242396,0.02290342617092734
3_humpback,0.39347838975555555,0.4009739808555555,0.9312537049717343,0.0005412358668072273,0.023359868973892636
4_paralysis,0.27404764178571434,0.25179446980000003,0.6121412603868277,0.005483091913828481,0.0762837004792187
all,0.3862024779028571,0.3886621978628571,0.8630294862178339,0.001833056677840985,0.04336752171321763
