person_id,person,type,trial,bag_path,nlpmp_path,memo,bag扱い,video07301,video07304
1,takahashi,0,0,_2023-12-19-12-29-23.bag,/home/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results/20231219/20231219_122937_20231219_00_00_takahashi,"tf,odomがfalseだった",,C0033.MP4,C0029.MP4
1,takahashi,1,0,_2023-12-19-12-35-14.bag,/home/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results/20231219/20231219_123537_20231219_01_00_takahashi,,,C0034.MP4,C0030.MP4
1,takahashi,1,1,_2023-12-19-12-38-43.bag,/home/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results/20231219/20231219_123854_20231219_01_01_takahashi,,,C0035.MP4,C0031.MP4
1,takahashi,2,0,,/home/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results/20231219/20231219_124413_20231219_02_00_takahashi,フレームアウト,削除済み,C0036.MP4,C0032.MP4
1,takahashi,2,1,_2023-12-19-13-08-13.bag,/home/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results/20231219/20231219_130855_20231219_02_01_takahashi,フレームアウト,削除済み,C0037.MP4,C0033.MP4
1,takahashi,2,2,_2023-12-19-13-11-59.bag,/home/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results/20231219/20231219_131211_20231219_02_02_takahashi,フレームアウトsi,削除済み,C0038.MP4,C0034.MP4
1,takahashi,2,3,_2023-12-19-13-14-31.bag,/home/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results/20231219/20231219_131442_20231219_02_03_takahashi,いちおう？,削除済み,C0039.MP4,C0035.MP4
1,takahashi,2,4,_2023-12-19-13-17-33.bag,/home/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results/20231219/20231219_131743_20231219_02_04_takahashi,,削除済み,C0040.MP4,C0036.MP4
1,takahashi,2,5,_2023-12-19-13-20-44.bag,/home/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results/20231219/20231219_132054_20231219_02_05_takahashi,,,C0041.MP4,C0037.MP4
1,takahashi,3,0,_2023-12-19-13-34-26.bag,/home/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results/20231219/20231219_133435_20231219_03_00_takahashi,高齢者体験キットフレームアウト,,C0042.MP4,C0038.MP4
1,takahashi,3,1,_2023-12-19-13-43-36.bag,/home/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results/20231219/20231219_134348_20231219_03_01_takahashi,,,C0043.MP4,C0039.MP4
1,takahashi,4,0,_2023-12-19-13-54-12.bag,/home/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results/20231219/20231219_135454_20231219_04_00_takahashi,,,C0044.MP4,C0040.MP4
2,otayu,0,0,_2023-12-19-14-03-52.bag,/home/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results/20231219/20231219_140403_20231219_04_00_otayu,,,C0045.MP4,C0041.MP4
2,otayu,1,0,_2023-12-19-14-06-55.bag,/home/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results/20231219/20231219_140713_20231219_02_01_00_otayu,クラッシュ,削除済み,C0046.MP4,C0042.MP4
2,otayu,1,1,_2023-12-19-14-10-13.bag,/home/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results/20231219/20231219_141021_20231219_02_01_01_otayu,検知遅れ・クラッシュ,削除済み,C0047.MP4,C0043.MP4
2,otayu,1,2,_2023-12-19-14-27-59.bag,/home/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results/20231219/20231219_142835_20231219_02_01_02_otayu,OKになってるけどほぼロストしてる（x<0領域),削除済み,C0048.MP4,C0044.MP4
2,otayu,1,3,_2023-12-19-14-32-45.bag,/home/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results/20231219/20231219_143326_20231219_02_01_03_otayu,ロストしてるしcrashもしてる,削除済み,C0049.MP4,C0045.MP4
2,otayu,1,4,_2023-12-19-14-53-53.bag,/home/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results/20231219/20231219_145405_20231219_02_01_04_otayu,,削除済み,C0050.MP4,C0046.MP4
2,otayu,1,5,_2023-12-19-15-16-44.bag,/home/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results/20231219/20231219_151655_20231219_02_01_05_otayu,"toretetakahabimyou ",削除済み,C0051.MP4,C0047.MP4
2,otayu,3,0,_2023-12-19-15-20-40.bag,/home/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results/20231219/20231219_152053_20231219_02_03_00_otayu,,,C0052.MP4,C0048.MP4
3,koyama,0,0,_2023-12-19-16-04-53.bag,/home/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results/20231219/20231219_160504_20231219_03_00_00_koyama,,削除済み,C0053.MP4,C0049.MP4
3,koyama,0,1,_2023-12-19-16-07-35.bag,/home/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results/20231219/20231219_160754_20231219_03_00_01_koyama,,,C0054.MP4,C0050.MP4
3,koyama,1,0,_2023-12-19-16-10-29.bag,/home/hayashide/ytlab_ros_ws/ytlab_nlpmp/ytlab_nlpmp_modules/results/20231219/20231219_161048_20231219_03_01_00_koyama,,,C0055.MP4,C0051.MP4
