,truth_stride_mean[m],estm_stride_mean[m],R2,RMSE[m],err_std[m]
0_1_normal,0.7168112807153846,0.5864180897692308,-4.609580064931341,0.04135150954630355,0.16241372810289784
2_avoid,0.6870675620666667,0.5708425653666666,-1.3514314664379543,0.021117997748922358,0.09555991559858568
3_humpback,0.6212057922666667,0.5480698172777778,-2.1607758477131553,0.03654482412075681,0.18733778968371306
4_paralysis,0.42195314035714293,0.42873880059999997,-0.41531089724687575,0.022602925289487253,0.16222317997740557
all,0.6281564609885715,0.5423511576828571,-0.46369871228500403,0.032897185848820065,0.16212851221377783
